# Filename:			0.txt
# Last Editted by:		
# Last Editted on:		2012/12/02 13:58
W1528
H900
T10000000

# DefinitionIDs for each kind of asset in the level.
D1,WA,edge_ground_world1.png
A1,228,256
A1,228,288
A1,452,352
A1,452,384
A1,452,416
A1,452,448
A1,452,480
A1,452,512
A1,452,544
A1,228,640
A1,228,672
A1,228,704
A1,228,736
A1,228,768
A1,228,800
A1,228,832
A1,228,864
A1,228,896
A1,1220,384
A1,1220,416
A1,1220,448
A1,1220,480
A1,1220,544
A1,1220,512
A1,1284,160,D:UpRight
A1,1284,192,D:UpRight
A1,1284,224,D:UpRight
A1,1284,256,D:UpRight
A1,1284,288,D:UpRight
A1,1284,320,D:UpRight
A1,1284,352,D:UpRight
A1,1284,384,D:UpRight
A1,1284,416,D:UpRight
A1,1284,448,D:UpRight
A1,1284,480,D:UpRight
A1,1284,512,D:UpRight
A1,1284,544,D:UpRight
A1,1284,576,D:UpRight
A1,1284,608,D:UpRight
A1,1284,640,D:UpRight
A1,1284,672,D:UpRight
A1,1284,736,D:UpRight
A1,1284,704,D:UpRight
A1,1028,544,D:UpRight
A1,1028,480,D:UpRight
A1,1028,512,D:UpRight
A1,1028,448,D:UpRight
A1,1028,416,D:UpRight
A1,1028,384,D:UpRight
A1,1252,96,D:UpRight
A1,1252,64,D:UpRight
A1,1252,32,D:UpRight
A1,1252,800,D:UpRight
A1,1252,832,D:UpRight
A1,1252,864,D:UpRight
A1,1252,896,D:UpRight
A28,1252,480
A28,1268,480
A14,1060,840,D:DownLeft
A9,232,879
A9,932,640
A9,868,640
A9,228,704
A9,228,768
A9,228,832
A9,228,640
A9,228,576
A1,228,608
A15,228,320,D:DownLeft
A15,1284,768,D:DownRight
A15,1252,0,D:UpRight
A15,1284,128,D:UpRight
A15,228,576
A15,228,0
A3,196,0
A3,196,32
A3,196,64
A3,196,96
A3,196,128
A3,196,160
A3,196,192
A3,196,224
A3,196,256
A3,196,288
A3,196,320
A3,196,352
A3,196,384
A3,196,416
A3,196,448
A3,196,480
A3,196,512
A3,196,544
A3,196,576
A3,196,608
A3,196,640
A3,196,672
A3,196,704
A3,196,736
A3,196,768
A3,196,800
A3,196,832
A3,196,864
A3,196,896
A3,164,0
A3,164,32
A3,164,64
A3,164,96
A3,164,128
A3,164,160
A3,164,192
A3,164,224
A3,164,256
A3,164,288
A3,164,320
A3,164,352
A3,164,384
A3,164,416
A3,164,448
A3,164,480
A3,164,512
A3,164,544
A3,164,576
A3,164,608
A3,164,640
A3,164,672
A3,164,704
A3,164,736
A3,164,768
A3,164,800
A3,164,832
A3,164,864
A3,164,896
A3,132,0
A3,132,32
A3,132,64
A3,132,96
A3,132,128
A3,132,160
A3,132,192
A3,132,224
A3,132,256
A3,132,288
A3,132,320
A3,132,352
A3,132,384
A3,132,416
A3,132,448
A3,132,480
A3,132,512
A3,132,544
A3,132,576
A3,132,608
A3,132,640
A3,132,672
A3,132,704
A3,132,736
A3,132,768
A3,132,800
A3,132,832
A3,132,864
A3,132,896
A3,100,0
A3,100,32
A3,100,64
A3,100,96
A3,100,128
A3,100,160
A3,100,192
A3,100,224
A3,100,256
A3,100,288
A3,100,320
A3,100,352
A3,100,384
A3,100,416
A3,100,448
A3,100,480
A3,100,512
A3,100,544
A3,100,576
A3,100,608
A3,100,640
A3,100,672
A3,100,704
A3,100,736
A3,100,768
A3,100,800
A3,100,832
A3,100,864
A3,100,896
A3,1316,0
A3,1316,32
A3,1316,64
A3,1316,96
A3,1316,128
A3,1316,160
A3,1316,192
A3,1316,224
A3,1316,256
A3,1316,288
A3,1316,320
A3,1316,352
A3,1316,384
A3,1316,416
A3,1316,448
A3,1316,480
A3,1316,512
A3,1316,544
A3,1316,576
A3,1316,608
A3,1316,640
A3,1316,672
A3,1316,704
A3,1316,736
A3,1316,768
A3,1316,800
A3,1316,832
A3,1316,864
A3,1316,896
A3,1348,0
A3,1348,32
A3,1348,64
A3,1348,96
A3,1348,128
A3,1348,160
A3,1348,192
A3,1348,224
A3,1348,256
A3,1348,288
A3,1348,320
A3,1348,352
A3,1348,384
A3,1348,416
A3,1348,448
A3,1348,480
A3,1348,512
A3,1348,544
A3,1348,576
A3,1348,608
A3,1348,640
A3,1348,672
A3,1348,704
A3,1348,736
A3,1348,768
A3,1348,800
A3,1348,832
A3,1348,864
A3,1348,896
A3,1380,0
A3,1380,32
A3,1380,64
A3,1380,96
A3,1380,128
A3,1380,160
A3,1380,192
A3,1380,224
A3,1380,256
A3,1380,288
A3,1380,320
A3,1380,352
A3,1380,384
A3,1380,416
A3,1380,448
A3,1380,480
A3,1380,512
A3,1380,544
A3,1380,576
A3,1380,608
A3,1380,640
A3,1380,672
A3,1380,704
A3,1380,736
A3,1380,768
A3,1380,800
A3,1380,832
A3,1380,864
A3,1380,896
A14,1043,600
A14,1107,600
A14,1171,600
A3,-28,0
A3,-28,32
A3,-28,64
A3,-28,96
A3,-28,128
A3,-28,160
A3,-28,192
A3,-28,224
A3,-28,256
A3,-28,288
A3,-28,320
A3,-28,352
A3,-28,384
A3,-28,416
A3,-28,448
A3,-28,480
A3,-28,512
A3,-28,544
A3,-28,576
A3,-28,608
A3,-28,640
A3,-28,672
A3,-28,704
A3,-28,736
A3,-28,768
A3,-28,800
A3,-28,832
A3,-28,864
A3,-28,896
A3,4,0
A3,4,32
A3,4,64
A3,4,96
A3,4,128
A3,4,160
A3,4,192
A3,4,224
A3,4,256
A3,4,288
A3,4,320
A3,4,352
A3,4,384
A3,4,416
A3,4,448
A3,4,480
A3,4,512
A3,4,544
A3,4,576
A3,4,608
A3,4,640
A3,4,672
A3,4,704
A3,4,736
A3,4,768
A3,4,800
A3,4,832
A3,4,864
A3,4,896
A3,36,0
A3,36,32
A3,36,64
A3,36,96
A3,36,128
A3,36,160
A3,36,192
A3,36,224
A3,36,256
A3,36,288
A3,36,320
A3,36,352
A3,36,384
A3,36,416
A3,36,448
A3,36,480
A3,36,512
A3,36,544
A3,36,576
A3,36,608
A3,36,640
A3,36,672
A3,36,704
A3,36,736
A3,36,768
A3,36,800
A3,36,832
A3,36,864
A3,36,896
A3,68,0
A3,68,32
A3,68,64
A3,68,96
A3,68,128
A3,68,160
A3,68,192
A3,68,224
A3,68,256
A3,68,288
A3,68,320
A3,68,352
A3,68,384
A3,68,416
A3,68,448
A3,68,480
A3,68,512
A3,68,544
A3,68,576
A3,68,608
A3,68,640
A3,68,672
A3,68,704
A3,68,736
A3,68,768
A3,68,800
A3,68,832
A3,68,864
A3,68,896
A3,1412,0
A3,1412,32
A3,1412,64
A3,1412,96
A3,1412,128
A3,1412,160
A3,1412,192
A3,1412,224
A3,1412,256
A3,1412,288
A3,1412,320
A3,1412,352
A3,1412,384
A3,1412,416
A3,1412,448
A3,1412,480
A3,1412,512
A3,1412,544
A3,1412,576
A3,1412,608
A3,1412,640
A3,1412,672
A3,1412,704
A3,1412,736
A3,1412,768
A3,1412,800
A3,1412,832
A3,1412,864
A3,1412,896
A3,1444,0
A3,1444,32
A3,1444,64
A3,1444,96
A3,1444,128
A3,1444,160
A3,1444,192
A3,1444,224
A3,1444,256
A3,1444,288
A3,1444,320
A3,1444,352
A3,1444,384
A3,1444,416
A3,1444,448
A3,1444,480
A3,1444,512
A3,1444,544
A3,1444,576
A3,1444,608
A3,1444,640
A3,1444,672
A3,1444,704
A3,1444,736
A3,1444,768
A3,1444,800
A3,1444,832
A3,1444,864
A3,1444,896
A3,1476,0
A3,1476,32
A3,1476,64
A3,1476,96
A3,1476,128
A3,1476,160
A3,1476,192
A3,1476,224
A3,1476,256
A3,1476,288
A3,1476,320
A3,1476,352
A3,1476,384
A3,1476,416
A3,1476,448
A3,1476,480
A3,1476,512
A3,1476,544
A3,1476,576
A3,1476,608
A3,1476,640
A3,1476,672
A3,1476,704
A3,1476,736
A3,1476,768
A3,1476,800
A3,1476,832
A3,1476,864
A3,1476,896
A3,1508,0
A3,1508,32
A3,1508,64
A3,1508,96
A3,1508,128
A3,1508,160
A3,1508,192
A3,1508,224
A3,1508,256
A3,1508,288
A3,1508,320
A3,1508,352
A3,1508,384
A3,1508,416
A3,1508,448
A3,1508,480
A3,1508,512
A3,1508,544
A3,1508,576
A3,1508,608
A3,1508,640
A3,1508,672
A3,1508,704
A3,1508,736
A3,1508,768
A3,1508,800
A3,1508,832
A3,1508,864
A3,1508,896
A9,484,576
