# Filename:			0.txt
# Last Editted by:		
# Last Editted on:		2012/10/18 02:31
W1528
H2480
T10000000

# DefinitionIDs for each kind of asset in the level.
D3,WA,deep_ground_world3.png
A3,192,2288
A3,192,2256
A3,192,2224
A3,192,2192
A3,192,2160
A3,192,2128
A3,192,2096
A3,192,2064
A3,192,2032
A3,192,2000
A3,192,1968
A3,192,1936
A3,192,1904
A3,192,1872
A3,192,1840
A3,192,1808
A3,192,1776
A3,192,1744
A3,192,1712
A3,192,1680
A3,192,1648
A3,192,1616
A3,192,1584
A3,192,1552
A3,192,1520
A3,192,1488
A3,192,1456
A3,192,1424
A3,192,1392
A3,192,1360
A3,192,1328
A3,192,1296
A3,192,1264
A3,192,1232
A3,192,1200
A3,192,1168
A3,192,1136
A3,192,1104
A3,192,1072
A3,192,1040
A3,192,1008
A3,192,976
A3,192,944
A3,192,912
A3,192,880
A3,192,848
A3,192,816
A3,192,784
A3,192,752
A3,192,720
A3,192,688
A3,192,656
A3,192,624
A3,192,592
A3,192,560
A3,192,528
A3,192,496
A3,192,464
A3,192,432
A3,192,400
A3,192,368
A3,192,336
A3,192,304
A3,192,272
A3,192,240
A3,192,208
A3,192,176
A3,192,144
A3,192,112
A3,192,80
A3,192,48
A3,224,2448
A3,224,2416
A3,224,752
A3,224,720
A3,224,688
A3,224,656
A3,224,624
A3,224,592
A3,224,560
A3,224,528
A3,224,496
A3,224,464
A3,224,432
A3,224,400
A3,224,368
A3,224,336
A3,224,304
A3,224,272
A3,224,240
A3,224,208
A3,224,176
A3,224,144
A3,224,112
A3,224,80
A3,224,48
A3,128,-16
A3,160,-16
A3,256,2448
A4,288,2368,D:UpRight
A4,320,2368,D:UpRight
A4,352,2368,D:UpRight
A4,384,2368,D:UpRight
A4,416,2368,D:UpRight
A4,448,2368,D:UpRight
A3,256,2400,D:UpRight
A3,256,2432,D:UpRight
A3,1376,2464
A3,1376,2432
A3,1376,2400
A3,1376,2368
A3,1376,2336
A3,1376,2304
A3,1376,2272
A3,1376,2240
A3,1376,2208
A3,1376,2176
A3,1376,2144
A3,1376,2112
A3,1376,2080
A3,1376,2048
A3,1376,2016
A3,1376,1984
A3,1376,1952
A3,1376,1920
A3,1376,1888
A3,1376,1856
A3,1376,1824
A3,1376,1792
A3,1376,1760
A3,1376,1728
A3,1376,1696
A3,1376,1664
A3,1376,1632
A3,1376,1600
A3,1376,1568
A3,1376,1536
A3,1376,1504
A3,1376,1472
A3,1376,1440
A3,1376,1408
A3,1376,1376
A3,1376,1344
A3,1376,1312
A3,1376,1280
A3,1376,1248
A3,1376,1216
A3,1376,1184
A3,1376,1152
A3,1376,1120
A3,1376,1088
A3,1376,1056
A3,1376,1024
A3,1376,992
A3,1376,960
A3,1376,928
A3,1376,896
A3,1376,864
A3,1376,832
A3,1376,800
A3,1376,768
A3,1376,736
A3,1376,704
A3,1376,672
A3,1376,640
A3,1376,608
A3,1376,576
A3,1376,544
A3,1376,512
A3,1376,480
A3,1376,448
A3,1376,416
A3,1376,384
A3,1376,352
A3,1376,320
A3,1376,288
A3,1376,256
A3,1376,224
A3,1376,192
A3,1376,160
A3,1376,128
A3,1376,96
A3,1376,64
A3,1376,32
A3,1344,2464
A3,1344,2432
A3,1344,2400
A3,1344,2368
A3,1344,2336
A3,1344,2304
A3,1344,2272
A3,1344,2240
A3,1344,2208
A3,1344,2176
A3,1344,2144
A3,1344,2112
A3,1344,2080
A3,1344,2048
A3,1344,2016
A3,1344,1984
A3,1344,1952
A3,1344,1920
A3,1344,1888
A3,1344,1856
A3,1344,1824
A3,1344,1792
A3,1344,1760
A3,1344,1728
A3,1344,1696
A3,1344,1664
A3,1344,1632
A3,1344,1600
A3,1344,1568
A3,1344,1536
A3,1344,1504
A3,1344,1472
A3,1344,1440
A3,1344,1408
A3,1344,1376
A3,1344,1344
A3,1344,1312
A3,1344,1280
A3,1344,1248
A3,1344,1216
A3,1344,1184
A3,1344,1152
A3,1344,1120
A3,1344,1088
A3,1344,1056
A3,1344,1024
A3,1344,992
A3,1344,960
A3,1344,928
A3,1344,896
A3,1344,864
A3,1344,832
A3,1344,800
A3,1344,768
A3,1344,736
A3,1344,704
A3,1344,672
A3,1344,640
A3,1344,608
A3,1344,576
A3,1344,544
A3,1344,512
A3,1344,480
A3,1344,448
A3,1344,416
A3,1344,384
A3,1344,352
A3,1344,320
A3,1344,288
A3,1344,256
A3,1344,224
A3,1344,192
A3,1344,160
A3,1344,128
A3,1344,96
A3,1344,64
A3,1344,32
A3,1312,2464
A3,1312,2432
A3,1312,2400
A3,1312,2368
A3,1312,2336
A3,1312,2304
A3,1312,2272
A3,1312,2240
A3,1312,2208
A3,1312,2176
A3,1312,2144
A3,1312,2112
A3,1312,2080
A3,1312,2048
A3,1312,2016
A3,1312,1984
A3,1312,1952
A3,1312,1920
A3,1312,1888
A3,1312,1856
A3,1312,1824
A3,1312,1792
A3,1312,1760
A3,1312,1728
A3,1312,1696
A3,1312,1664
A3,1312,1632
A3,1312,1600
A3,1312,1568
A3,1312,1536
A3,1312,1504
A3,1312,1472
A3,1312,1440
A3,1312,1408
A3,1312,1376
A3,1312,1344
A3,1312,1312
A3,1312,1280
A3,1312,1248
A3,1312,1216
A3,1312,1184
A3,1312,1152
A3,1312,1120
A3,1312,1088
A3,1312,1056
A3,1312,1024
A3,1312,992
A3,1312,960
A3,1312,928
A3,1312,896
A3,1312,864
A3,1312,832
A3,1312,800
A3,1312,768
A3,1312,736
A3,1312,704
A3,1312,672
A3,1312,640
A3,1312,608
A3,1312,576
A3,1312,544
A3,1312,512
A3,1312,480
A3,1312,448
A3,1312,416
A3,1312,384
A3,1312,352
A3,1312,320
A3,1312,288
A3,1312,256
A3,1312,224
A3,1312,192
A3,1312,160
A3,1312,128
A3,1312,96
A3,1312,64
A3,1312,32
A3,1280,2464
A3,1280,2432
A3,1280,2400
A3,1280,2368
A3,1280,2336
A3,1280,2304
A3,1280,2272
A3,1280,2240
A3,1280,2208
A3,1280,2176
A3,1280,2144
A3,1280,2112
A3,1280,2080
A3,1280,2048
A3,1280,2016
A3,1280,1984
A3,1280,1952
A3,1280,1920
A3,1280,1888
A3,1280,1856
A3,1280,1824
A3,1280,1792
A3,1280,1760
A3,1280,1728
A3,1280,1696
A3,1280,1664
A3,1280,1632
A3,1280,1600
A3,1280,1568
A3,1280,1536
A3,1280,1504
A3,1280,1472
A3,1280,1440
A3,1280,1408
A3,1280,1376
A3,1280,1344
A3,1280,1312
A3,1280,1280
A3,1280,1248
A3,1280,1216
A3,1280,1184
A3,1280,1152
A3,1280,1120
A3,1280,1088
A3,1280,1056
A3,1280,1024
A3,1280,992
A3,1280,960
A3,1280,928
A3,1280,896
A3,1280,864
A3,1280,832
A3,1280,800
A3,1280,768
A3,1280,736
A3,1280,704
A3,1280,672
A3,1280,640
A3,1280,608
A3,1280,576
A3,1280,544
A3,1280,512
A3,1280,480
A3,1280,448
A3,1280,416
A3,1280,384
A3,1280,352
A3,1280,320
A3,1280,288
A3,1280,256
A3,1280,224
A3,1280,192
A3,1280,160
A3,1280,128
A3,1280,96
A3,1280,64
A3,1280,32
A3,1280,0
A3,1312,0
A3,1344,0
A3,1376,0
A4,1216,2368
A4,1184,2368
A4,1152,2368
A4,1120,2368
A4,1088,2368
A4,1056,2368
A3,1248,2368
A3,1248,2400
A3,1248,2432
A3,1248,2464
A12,512,2368
A12,544,2368
A12,576,2368
A12,608,2368
A12,640,2368
A12,672,2368
A12,704,2368
A12,736,2368
A12,768,2368
A12,800,2368
A12,832,2368
A12,864,2368
A12,896,2368
A12,928,2368
A12,960,2368
A12,992,2368
A13,992,2400
A13,992,2432
A13,992,2464
A13,960,2400
A13,960,2432
A13,960,2464
A13,928,2400
A13,928,2432
A13,928,2464
A13,896,2400
A13,896,2432
A13,896,2464
A13,864,2400
A13,864,2432
A13,864,2464
A13,832,2400
A13,832,2432
A13,832,2464
A13,800,2400
A13,800,2432
A13,800,2464
A13,768,2400
A13,768,2432
A13,768,2464
A13,736,2400
A13,736,2432
A13,736,2464
A13,704,2400
A13,704,2432
A13,704,2464
A13,672,2400
A13,672,2432
A13,672,2464
A13,640,2400
A13,640,2432
A13,640,2464
A13,608,2400
A13,608,2432
A13,608,2464
A13,576,2400
A13,576,2432
A13,576,2464
A13,544,2400
A13,544,2432
A13,544,2464
A13,512,2400
A13,512,2432
A13,512,2464
A3,288,2400
A3,288,2432
A3,288,2464
A3,320,2400
A3,320,2432
A3,320,2464
A3,352,2400
A3,352,2432
A3,352,2464
A3,384,2400
A3,384,2432
A3,384,2464
A3,416,2400
A3,416,2432
A3,416,2464
A3,448,2400
A3,448,2432
A3,448,2464
A3,1056,2400
A3,1056,2432
A3,1056,2464
A3,1088,2400
A3,1088,2432
A3,1088,2464
A3,1120,2400
A3,1120,2432
A3,1120,2464
A3,1152,2400
A3,1152,2432
A3,1152,2464
A3,1184,2400
A3,1184,2432
A3,1184,2464
A3,1216,2400
A3,1216,2432
A3,1216,2464
A10,319,2272
A11,1184,2272
A9,448,2304
A9,448,2240
A9,448,2176
A9,448,2112
A9,448,2048
A9,448,1984
A9,512,1984
A9,576,1984
A14,581,2345,D:DownRight
A14,741,2345,D:DownRight
A14,898,2346,D:DownRight
A7,764,2324
A9,675,1859
A9,675,1795
A9,675,1731
A9,739,1731
A9,739,1795
A9,739,1859
A9,803,1731
A9,803,1795
A9,803,1859
A9,867,1731
A9,867,1795
A9,867,1859
A9,931,1731
A9,931,1795
A9,931,1859
A9,995,1731
A9,995,1795
A9,995,1859
A14,1100,1741
A14,1182,1668
A14,1095,1573
A14,1180,1474
A9,1180,1378
A9,1180,1314
A9,1180,1250
A9,1116,1250
A9,1052,1250
A9,988,1250
A9,924,1250
A9,860,1250
A9,796,1250
A9,732,1250
A9,668,1250
A9,604,1250
A14,606,786
A14,734,786
A14,862,786
A22,1248,2368,D:DownRight
A27,480,2400,D:DownLeft
A27,480,2432,D:DownLeft
A27,480,2464,D:DownLeft
A27,1024,2400,D:DownRight
A27,1024,2432,D:DownRight
A27,1024,2464,D:DownRight
A17,480,2368
A17,1024,2368,D:UpRight
A27,1248,2336,D:UpRight
A27,1248,2304,D:UpRight
A27,1248,2272,D:UpRight
A27,1248,2240,D:UpRight
A27,1248,2208,D:UpRight
A27,1248,2176,D:UpRight
A27,1248,2144,D:UpRight
A27,1248,2112,D:UpRight
A27,1248,2080,D:UpRight
A27,1248,2048,D:UpRight
A27,1248,2016,D:UpRight
A27,1248,1984,D:UpRight
A27,1248,1952,D:UpRight
A27,1248,1920,D:UpRight
A27,1248,1888,D:UpRight
A27,1248,1856,D:UpRight
A27,1248,1824,D:UpRight
A27,1248,1792,D:UpRight
A27,1248,1760,D:UpRight
A27,1248,1728,D:UpRight
A27,1248,1696,D:UpRight
A27,1248,1664,D:UpRight
A27,1248,1632,D:UpRight
A27,1248,1600,D:UpRight
A27,1248,1568,D:UpRight
A27,1248,1536,D:UpRight
A27,1248,1504,D:UpRight
A27,1248,1472,D:UpRight
A27,1248,1440,D:UpRight
A27,1248,1408,D:UpRight
A27,1248,1376,D:UpRight
A27,1248,1344,D:UpRight
A27,1248,1312,D:UpRight
A27,1248,1280,D:UpRight
A27,1248,1248,D:UpRight
A27,1248,1216,D:UpRight
A27,1248,1184,D:UpRight
A27,1248,1152,D:UpRight
A27,1248,1120,D:UpRight
A27,1248,1088,D:UpRight
A27,1248,1056,D:UpRight
A27,1248,1024,D:UpRight
A27,1248,992,D:UpRight
A27,1248,960,D:UpRight
A27,1248,928,D:UpRight
A27,1248,896,D:UpRight
A27,1248,864,D:UpRight
A27,1248,832,D:UpRight
A27,1248,800,D:UpRight
A27,1248,768,D:UpRight
A27,1248,736,D:UpRight
A27,1248,704,D:UpRight
A27,1248,672,D:UpRight
A27,1248,640,D:UpRight
A27,256,608
A27,256,640
A27,256,672
A27,256,704
A27,256,736
A14,478,786
A9,604,866
A9,668,866
A9,732,866
A9,796,866
A9,860,866
A9,924,866
A9,988,866
A9,988,802
A9,988,738
A14,674,2010
A9,540,866
A9,540,930
A9,540,994
A9,540,1058
A9,540,1122
A9,540,1186
A9,540,1250
A3,192,0
A3,192,32
A3,224,0
A3,224,32
A3,256,0
A3,256,32
A3,288,0
A3,288,32
A3,320,0
A3,320,32
A3,352,0
A3,352,32
A3,384,0
A3,384,32
A3,416,0
A3,416,32
A3,448,0
A3,448,32
A3,480,0
A3,480,32
A3,512,0
A3,512,32
A3,544,0
A3,544,32
A3,576,0
A3,576,32
A3,608,0
A3,608,32
A3,640,0
A3,640,32
A3,672,0
A3,672,32
A3,704,0
A3,704,32
A3,736,0
A3,736,32
A3,768,0
A3,768,32
A3,800,0
A3,800,32
A3,832,0
A3,832,32
A3,864,0
A3,864,32
A3,896,0
A3,896,32
A3,928,0
A3,928,32
A3,960,0
A3,960,32
A3,992,0
A3,992,32
A3,1024,0
A3,1024,32
A3,1056,0
A3,1056,32
A3,1088,0
A3,1088,32
A3,1120,0
A3,1120,32
A3,1152,0
A3,1152,32
A3,1184,0
A3,1184,32
A3,1216,0
A3,1216,32
A3,1248,0
A3,1248,32
A3,256,64
A3,256,96
A3,256,128
A3,256,160
A3,288,64
A3,288,96
A3,288,128
A3,288,160
A3,320,64
A3,320,96
A3,320,128
A3,320,160
A3,352,64
A3,352,96
A3,352,128
A3,352,160
A3,384,64
A3,384,96
A3,384,128
A3,384,160
A3,416,64
A3,416,96
A3,416,128
A3,416,160
A3,448,64
A3,448,96
A3,448,128
A3,448,160
A3,480,64
A3,480,96
A3,480,128
A3,480,160
A3,512,64
A3,512,96
A3,512,128
A3,512,160
A3,544,64
A3,544,96
A3,544,128
A3,544,160
A3,576,64
A3,576,96
A3,576,128
A3,576,160
A3,608,64
A3,608,96
A3,608,128
A3,608,160
A3,640,64
A3,640,96
A3,640,128
A3,640,160
A3,672,64
A3,672,96
A3,672,128
A3,672,160
A3,704,64
A3,704,96
A3,704,128
A3,704,160
A3,736,64
A3,736,96
A3,736,128
A3,736,160
A3,768,64
A3,768,96
A3,768,128
A3,768,160
A3,800,64
A3,800,96
A3,800,128
A3,800,160
A3,832,64
A3,832,96
A3,832,128
A3,832,160
A3,864,64
A3,864,96
A3,864,128
A3,864,160
A3,896,64
A3,896,96
A3,896,128
A3,896,160
A3,928,64
A3,928,96
A3,928,128
A3,928,160
A3,960,64
A3,960,96
A3,960,128
A3,960,160
A3,992,64
A3,992,96
A3,992,128
A3,992,160
A3,1024,64
A3,1024,96
A3,1024,128
A3,1024,160
A3,1056,64
A3,1056,96
A3,1056,128
A3,1056,160
A3,1088,64
A3,1088,96
A3,1088,128
A3,1088,160
A3,1120,64
A3,1120,96
A3,1120,128
A3,1120,160
A3,1152,64
A3,1152,96
A3,1152,128
A3,1152,160
A3,1184,64
A3,1184,96
A3,1184,128
A3,1184,160
A3,1216,64
A3,1216,96
A3,1216,128
A3,1216,160
A3,1248,64
A3,1248,96
A3,1248,128
A3,1248,160
A3,256,192
A3,256,224
A3,256,256
A3,256,288
A3,256,320
A3,256,352
A3,288,192
A3,288,224
A3,288,256
A3,288,288
A3,288,320
A3,288,352
A3,320,192
A3,320,224
A3,320,256
A3,320,288
A3,320,320
A3,320,352
A3,352,192
A3,352,224
A3,352,256
A3,352,288
A3,352,320
A3,352,352
A3,384,192
A3,384,224
A3,384,256
A3,384,288
A3,384,320
A3,384,352
A3,416,192
A3,416,224
A3,416,256
A3,416,288
A3,416,320
A3,416,352
A3,448,192
A3,448,224
A3,448,256
A3,448,288
A3,448,320
A3,448,352
A3,480,192
A3,480,224
A3,480,256
A3,480,288
A3,480,320
A3,480,352
A3,512,192
A3,512,224
A3,512,256
A3,512,288
A3,512,320
A3,512,352
A3,544,192
A3,544,224
A3,544,256
A3,544,288
A3,544,320
A3,544,352
A3,576,192
A3,576,224
A3,608,192
A3,608,224
A3,640,192
A3,640,224
A3,576,256
A3,608,256
A3,576,288
A3,576,320
A3,256,384
A3,288,384
A3,320,384
A3,352,384
A3,384,384
A3,416,384
A3,256,416
A3,832,192
A3,864,192
A3,896,192
A3,928,192
A3,960,192
A3,992,192
A3,1024,192
A3,1056,192
A3,1088,192
A3,1120,192
A3,1152,192
A3,1184,192
A3,1216,192
A3,1248,192
A3,864,224
A3,864,256
A3,864,288
A3,896,224
A3,896,256
A3,896,288
A3,928,224
A3,928,256
A3,928,288
A3,960,224
A3,960,256
A3,960,288
A3,992,224
A3,992,256
A3,992,288
A3,1024,224
A3,1024,256
A3,1024,288
A3,1056,224
A3,1056,256
A3,1056,288
A3,1088,224
A3,1088,256
A3,1088,288
A3,1120,224
A3,1120,256
A3,1120,288
A3,1152,224
A3,1152,256
A3,1152,288
A3,1184,224
A3,1184,256
A3,1184,288
A3,1216,224
A3,1216,256
A3,1216,288
A3,1248,224
A3,1248,256
A3,1248,288
A3,1024,320
A3,1056,320
A3,1088,320
A3,1120,320
A3,1152,320
A3,1184,320
A3,1216,320
A3,1248,320
A3,1056,352
A3,1056,384
A3,1056,416
A3,1088,352
A3,1088,384
A3,1088,416
A3,1120,352
A3,1120,384
A3,1120,416
A3,1152,352
A3,1152,384
A3,1152,416
A3,1184,352
A3,1184,384
A3,1184,416
A3,1216,352
A3,1216,384
A3,1216,416
A3,1248,352
A3,1248,384
A3,1248,416
A3,1248,448
A17,256,768,D:DownLeft
A22,224,768
A27,224,800
A27,224,832
A27,224,864
A27,224,896
A27,224,928
A27,224,960
A27,224,992
A27,224,1024
A27,224,1056
A27,224,1088
A27,224,1120
A27,224,1152
A27,224,1184
A27,224,1216
A27,224,1248
A27,224,1280
A27,224,1312
A27,224,1344
A27,224,1376
A27,224,1408
A27,224,1440
A27,224,1472
A27,224,1504
A27,224,1536
A27,224,1568
A27,224,1600
A27,224,1632
A27,224,1664
A27,224,1696
A27,224,1728
A27,224,1760
A27,224,1792
A27,224,1824
A27,224,1856
A27,224,1888
A27,224,1920
A27,224,1952
A27,224,1984
A27,224,2016
A27,224,2048
A27,224,2080
A27,224,2112
A27,224,2144
A27,224,2176
A27,224,2208
A27,224,2240
A27,224,2272
A27,224,2304
A27,224,2336
A22,224,2368,D:DownLeft
A4,256,2368
A3,224,2400
A17,288,576,D:DownLeft
A17,448,544,D:DownLeft
A17,576,512,D:DownLeft
A17,608,480,D:DownLeft
A17,640,416,D:DownLeft
A17,672,384,D:DownLeft
A17,800,352,D:DownRight
A17,992,480,D:DownRight
A17,1216,608,D:DownRight
A22,288,544
A22,448,512
A22,576,480
A22,608,416
A22,640,384
A22,672,320
A22,800,320,D:UpRight
A22,992,448,D:UpRight
A22,1216,576,D:UpRight
A17,1024,576,D:DownRight
A4,320,544,D:DownLeft
A4,352,544,D:DownLeft
A4,384,544,D:DownLeft
A4,416,544,D:DownLeft
A4,480,512,D:DownLeft
A4,512,512,D:DownLeft
A4,544,512,D:DownLeft
A4,704,320,D:DownLeft
A4,736,320,D:DownLeft
A4,768,320,D:DownLeft
A17,832,448,D:DownRight
A27,832,384,D:DownRight
A27,832,416,D:DownRight
A27,1024,512,D:DownRight
A27,1024,544,D:DownRight
A4,1056,576,D:DownLeft
A4,1088,576,D:DownLeft
A4,1120,576,D:DownLeft
A4,1152,576,D:DownLeft
A4,1184,576,D:DownLeft
A4,864,448,D:DownLeft
A4,896,448,D:DownLeft
A4,928,448,D:DownLeft
A4,960,448,D:DownLeft
A27,672,352,D:DownLeft
A27,608,448,D:DownLeft
A22,832,352,D:UpRight
A22,1024,480,D:UpRight
A22,256,576
A22,1248,608,D:UpRight
A3,672,192,D:UpRight
A3,672,224,D:UpRight
A3,672,256,D:UpRight
A3,672,288,D:UpRight
A3,704,192,D:UpRight
A3,704,224,D:UpRight
A3,704,256,D:UpRight
A3,704,288,D:UpRight
A3,736,192,D:UpRight
A3,736,224,D:UpRight
A3,736,256,D:UpRight
A3,736,288,D:UpRight
A3,768,192,D:UpRight
A3,768,224,D:UpRight
A3,768,256,D:UpRight
A3,768,288,D:UpRight
A3,800,192,D:UpRight
A3,800,224,D:UpRight
A3,800,256,D:UpRight
A3,800,288,D:UpRight
A3,832,224,D:UpRight
A3,832,256,D:UpRight
A3,832,288,D:UpRight
A3,832,320,D:UpRight
A3,864,320,D:UpRight
A3,864,352,D:UpRight
A3,864,384,D:UpRight
A3,864,416,D:UpRight
A3,896,320,D:UpRight
A3,896,352,D:UpRight
A3,896,384,D:UpRight
A3,896,416,D:UpRight
A3,928,320,D:UpRight
A3,928,352,D:UpRight
A3,928,384,D:UpRight
A3,928,416,D:UpRight
A3,960,320,D:UpRight
A3,960,352,D:UpRight
A3,960,384,D:UpRight
A3,960,416,D:UpRight
A3,992,320,D:UpRight
A3,992,352,D:UpRight
A3,992,384,D:UpRight
A3,992,416,D:UpRight
A3,1024,352,D:UpRight
A3,1024,384,D:UpRight
A3,1024,416,D:UpRight
A3,1024,448,D:UpRight
A3,1056,448,D:UpRight
A3,1056,480,D:UpRight
A3,1056,512,D:UpRight
A3,1056,544,D:UpRight
A3,1088,448,D:UpRight
A3,1088,480,D:UpRight
A3,1088,512,D:UpRight
A3,1088,544,D:UpRight
A3,1120,448,D:UpRight
A3,1120,480,D:UpRight
A3,1120,512,D:UpRight
A3,1120,544,D:UpRight
A3,1152,448,D:UpRight
A3,1152,480,D:UpRight
A3,1152,512,D:UpRight
A3,1152,544,D:UpRight
A3,1184,448,D:UpRight
A3,1184,480,D:UpRight
A3,1184,512,D:UpRight
A3,1184,544,D:UpRight
A3,1216,448,D:UpRight
A3,1216,480,D:UpRight
A3,1216,512,D:UpRight
A3,1216,544,D:UpRight
A3,1248,480,D:UpRight
A3,1248,512,D:UpRight
A3,1248,544,D:UpRight
A3,1248,576,D:UpRight
A3,256,448,D:UpRight
A3,256,480,D:UpRight
A3,256,512,D:UpRight
A3,256,544,D:UpRight
A3,288,416,D:UpRight
A3,288,448,D:UpRight
A3,288,480,D:UpRight
A3,288,512,D:UpRight
A3,320,416,D:UpRight
A3,320,448,D:UpRight
A3,320,480,D:UpRight
A3,320,512,D:UpRight
A3,352,416,D:UpRight
A3,352,448,D:UpRight
A3,352,480,D:UpRight
A3,352,512,D:UpRight
A3,384,416,D:UpRight
A3,384,448,D:UpRight
A3,384,480,D:UpRight
A3,384,512,D:UpRight
A3,416,416,D:UpRight
A3,416,448,D:UpRight
A3,416,480,D:UpRight
A3,416,512,D:UpRight
A3,448,384,D:UpRight
A3,448,416,D:UpRight
A3,448,448,D:UpRight
A3,448,480,D:UpRight
A3,480,384,D:UpRight
A3,480,416,D:UpRight
A3,480,448,D:UpRight
A3,480,480,D:UpRight
A3,512,384,D:UpRight
A3,512,416,D:UpRight
A3,512,448,D:UpRight
A3,512,480,D:UpRight
A3,544,384,D:UpRight
A3,544,416,D:UpRight
A3,544,448,D:UpRight
A3,544,480,D:UpRight
A3,576,352,D:UpRight
A3,576,384,D:UpRight
A3,576,416,D:UpRight
A3,576,448,D:UpRight
A3,608,288,D:UpRight
A3,608,320,D:UpRight
A3,608,352,D:UpRight
A3,608,384,D:UpRight
A3,640,256,D:UpRight
A3,640,288,D:UpRight
A3,640,320,D:UpRight
A3,640,352,D:UpRight
A30,709,2240
A31,805,2240
A32,677,2240
A33,837,2240
A3,0,0
A3,0,32
A3,0,64
A3,0,96
A3,0,128
A3,0,160
A3,0,192
A3,0,224
A3,0,256
A3,0,288
A3,0,320
A3,0,352
A3,0,384
A3,0,416
A3,0,448
A3,0,480
A3,0,512
A3,0,544
A3,0,576
A3,0,608
A3,0,640
A3,0,672
A3,0,704
A3,0,736
A3,0,768
A3,0,800
A3,0,832
A3,0,864
A3,0,896
A3,0,928
A3,0,960
A3,0,992
A3,0,1024
A3,0,1056
A3,0,1088
A3,0,1120
A3,0,1152
A3,0,1184
A3,0,1216
A3,0,1248
A3,0,1280
A3,0,1312
A3,0,1344
A3,0,1376
A3,0,1408
A3,0,1440
A3,0,1472
A3,0,1504
A3,0,1536
A3,0,1568
A3,0,1600
A3,0,1632
A3,0,1664
A3,0,1696
A3,0,1728
A3,0,1760
A3,0,1792
A3,0,1824
A3,0,1856
A3,0,1888
A3,0,1920
A3,0,1952
A3,0,1984
A3,0,2016
A3,0,2048
A3,0,2080
A3,0,2112
A3,0,2144
A3,0,2176
A3,0,2208
A3,0,2240
A3,0,2272
A3,0,2304
A3,0,2336
A3,0,2368
A3,0,2400
A3,0,2432
A3,0,2464
A3,32,0
A3,32,32
A3,32,64
A3,32,96
A3,32,128
A3,32,160
A3,32,192
A3,32,224
A3,32,256
A3,32,288
A3,32,320
A3,32,352
A3,32,384
A3,32,416
