# Filename:			2.txt
# Last Editted by:		
# Last Editted on:		2012/12/19 00:57
W1528
H2480
T10000000

# DefinitionIDs for each kind of asset in the level.
D6,WA,world3_blades.png
D7,WA,money.png
A13,864,2464,D:UpRight
A13,832,2464,D:UpRight
A13,800,2464,D:UpRight
A13,768,2464,D:UpRight
A13,736,2464,D:UpRight
A13,704,2464,D:UpRight
A13,672,2464,D:UpRight
A13,640,2464,D:UpRight
A13,608,2464,D:UpRight
A13,576,2464,D:UpRight
A13,544,2464,D:UpRight
A13,512,2464,D:UpRight
A13,480,2464,D:UpRight
A13,448,2464,D:UpRight
A13,416,2464,D:UpRight
A13,384,2464,D:UpRight
A13,352,2432,D:UpRight
A13,352,2464,D:UpRight
A13,320,2464,D:UpRight
A13,288,2464,D:UpRight
A9,320,2176
A9,384,2176
A9,448,2176
A9,512,2176
A9,320,2112
A9,384,2112
A9,448,2112
A9,512,2112
A9,576,2112
A9,576,2176
A9,640,2176
A9,640,2112
A9,704,2112
A9,704,2176
A9,768,2176
A9,768,2112
A9,832,2112
A9,832,2176
A9,896,2176
A9,896,2112
A9,960,2112
A9,960,2176
A9,1024,2176
A9,1024,2112
A9,1088,2112
A9,1088,2176
A9,1152,2176
A9,1152,2112
A9,1216,2112
A9,1280,2176
A9,1280,2112
A4,320,2080,D:DownLeft
A27,256,2048,D:DownRight
A27,256,2016,D:DownRight
A12,384,2048,D:DownLeft
A12,416,2048,D:DownLeft
A12,448,2048,D:DownLeft
A2,480,2080,D:DownRight
A27,480,2048,D:DownRight
A27,480,2016,D:DownRight
A5,480,1984,D:UpRight
A4,448,1984,D:DownRight
A4,416,1984,D:DownRight
A4,384,1984,D:DownRight
A27,352,2016,D:DownLeft
A27,352,2048,D:DownLeft
A3,288,2048,D:DownLeft
A3,320,2048,D:DownLeft
A3,320,2016,D:DownLeft
A3,288,2016,D:DownLeft
A3,288,1984,D:DownLeft
A3,320,1984,D:DownLeft
A27,256,1984,D:DownRight
A27,256,1952,D:DownRight
A27,256,1920,D:DownRight
A2,576,2080,D:DownLeft
A4,512,2080,D:DownLeft
A4,544,2080,D:DownLeft
A12,608,2048,D:DownLeft
A12,640,2048,D:DownLeft
A12,672,2048,D:DownLeft
A2,704,2080,D:DownRight
A27,576,2048,D:DownLeft
A27,576,2016,D:DownLeft
A27,704,2048,D:DownRight
A27,704,2016,D:DownRight
A4,608,1984,D:DownRight
A4,640,1984,D:DownRight
A4,672,1984,D:DownRight
A4,736,2080,D:DownRight
A4,768,2080,D:DownRight
A12,832,2048,D:DownRight
A12,864,2048,D:DownRight
A12,896,2048,D:DownRight
A2,928,2080,D:DownRight
A27,928,2048,D:DownRight
A27,928,2016,D:DownRight
A4,896,1984,D:DownRight
A4,864,1984,D:DownRight
A4,832,1984,D:DownRight
A27,800,2048,D:DownLeft
A27,800,2016,D:DownLeft
A2,800,2080,D:DownLeft
A4,960,2080,D:DownLeft
A4,992,2080,D:DownLeft
A2,1024,2080,D:DownLeft
A27,1024,2048,D:DownLeft
A27,1024,2016,D:DownLeft
A4,1056,1984,D:DownLeft
A4,1088,1984,D:DownLeft
A27,1152,2016,D:DownRight
A27,1152,2048,D:DownRight
A4,1120,1984,D:DownRight
A2,1152,2080,D:DownRight
A4,1184,2080,D:DownRight
A4,1216,2080,D:DownRight
A9,1344,2176
A9,1344,2112
A9,1344,2048
A9,1344,1984
A9,1344,1920
A9,1344,1856
A9,1344,1792
A4,1216,1856
A4,1184,1856
A4,1152,1856
A4,1120,1856
A4,1088,1856
A4,1056,1856
A4,1024,1856
A4,896,1856
A4,864,1856
A4,832,1856
A4,800,1856
A4,768,1856
A4,640,1856
A4,608,1856
A4,576,1856
A4,544,1856
A4,512,1856
A4,480,1856
A4,448,1856
A4,416,1856
A4,384,1856
A4,352,1856
A4,320,1856
A4,288,1856
A2,256,1856,D:UpRight
A27,256,1888,D:UpRight
A3,288,1888,D:UpRight
A3,288,1920,D:UpRight
A3,288,1952,D:UpRight
A3,320,1952,D:UpRight
A3,320,1920,D:UpRight
A3,320,1888,D:UpRight
A3,352,1888,D:UpRight
A3,352,1920,D:UpRight
A3,384,1920,D:UpRight
A3,384,1888,D:UpRight
A3,416,1888,D:UpRight
A3,448,1888,D:UpRight
A3,480,1888,D:UpRight
A3,512,1888,D:UpRight
A3,544,1888,D:UpRight
A3,576,1888,D:UpRight
A3,608,1888,D:UpRight
A3,640,1888,D:UpRight
A3,672,1888,D:UpRight
A3,704,1888,D:UpRight
A3,736,1888,D:UpRight
A3,800,1888,D:UpRight
A3,768,1888,D:UpRight
A3,832,1888,D:UpRight
A3,864,1888,D:UpRight
A3,896,1888,D:UpRight
A3,928,1888,D:UpRight
A3,960,1888,D:UpRight
A3,992,1888,D:UpRight
A3,1024,1888,D:UpRight
A3,1056,1888,D:UpRight
A3,1088,1888,D:UpRight
A3,1120,1888,D:UpRight
A3,1184,1888,D:UpRight
A3,1152,1888,D:UpRight
A3,1216,1888,D:UpRight
A3,1216,2016,D:UpRight
A3,1216,2048,D:UpRight
A3,1184,2048,D:UpRight
A3,1184,2016,D:UpRight
A3,1184,1984,D:UpRight
A3,1216,1984,D:UpRight
A3,1216,1920,D:UpRight
A3,1216,1952,D:UpRight
A3,1184,1952,D:UpRight
A3,1184,1920,D:UpRight
A3,1152,1920,D:UpRight
A3,1120,1920,D:UpRight
A3,1088,1920,D:UpRight
A3,1056,1920,D:UpRight
A3,1024,1920,D:UpRight
A3,992,1920,D:UpRight
A3,960,1920,D:UpRight
A3,928,1920,D:UpRight
A3,896,1920,D:UpRight
A3,864,1920,D:UpRight
A3,832,1920,D:UpRight
A3,800,1920,D:UpRight
A3,768,1920,D:UpRight
A3,736,1920,D:UpRight
A3,704,1920,D:UpRight
A3,672,1920,D:UpRight
A3,640,1920,D:UpRight
A3,608,1920,D:UpRight
A3,576,1920,D:UpRight
A3,544,1920,D:UpRight
A3,512,1920,D:UpRight
A3,480,1920,D:UpRight
A3,448,1920,D:UpRight
A3,416,1920,D:UpRight
A3,352,1952,D:UpRight
A3,384,1952,D:UpRight
A3,416,1952,D:UpRight
A3,448,1952,D:UpRight
A3,480,1952,D:UpRight
A3,512,1952,D:UpRight
A3,544,1952,D:UpRight
A3,576,1952,D:UpRight
A3,608,1952,D:UpRight
A3,640,1952,D:UpRight
A3,672,1952,D:UpRight
A3,736,1952,D:UpRight
A3,704,1952,D:UpRight
A3,768,1952,D:UpRight
A3,800,1952,D:UpRight
A3,832,1952,D:UpRight
A3,864,1952,D:UpRight
A3,896,1952,D:UpRight
A3,928,1952,D:UpRight
A3,992,1952,D:UpRight
A3,960,1952,D:UpRight
A3,1024,1952,D:UpRight
A3,1056,1952,D:UpRight
A3,1088,1952,D:UpRight
A3,1120,1952,D:UpRight
A3,1152,1952,D:UpRight
A3,992,1984,D:UpRight
A3,960,1984,D:UpRight
A3,768,1984,D:UpRight
A3,736,1984,D:UpRight
A3,736,2016,D:UpRight
A3,768,2016,D:UpRight
A3,768,2048,D:UpRight
A3,736,2048,D:UpRight
A3,960,2048,D:UpRight
A3,992,2048,D:UpRight
A3,992,2016,D:UpRight
A3,960,2016,D:UpRight
A3,512,1984,D:UpRight
A3,544,1984,D:UpRight
A3,544,2016,D:UpRight
A3,512,2016,D:UpRight
A3,512,2048,D:UpRight
A3,544,2048,D:UpRight
A12,1056,2048,D:DownRight
A12,1088,2048,D:DownRight
A12,1120,2048,D:DownRight
A13,384,2016,D:DownRight
A13,416,2016,D:DownRight
A13,448,2016,D:DownRight
A13,608,2016,D:DownRight
A13,640,2016,D:DownRight
A13,672,2016,D:DownRight
A13,832,2016,D:DownRight
A13,864,2016,D:DownRight
A13,896,2016,D:DownRight
A13,1056,2016,D:DownRight
A13,1088,2016,D:DownRight
A13,1120,2016,D:DownRight
A9,128,1856
A9,192,1856
A9,192,1920
A9,128,1920
A14,192,1849
A9,1216,2176
A7,224,1880,D:DownRight
A9,320,1728
A9,320,1664
A9,320,1600
A9,320,1536
A9,320,1472
A9,320,1408
A27,256,1728,D:DownRight
A27,256,1696,D:DownRight
A27,256,1664,D:DownRight
A27,256,1632,D:DownRight
A27,256,1600,D:DownRight
A27,256,1568,D:DownRight
A27,256,1536,D:DownRight
A27,256,1504,D:DownRight
A27,256,1472,D:DownRight
A27,256,1440,D:DownRight
A27,256,1408,D:DownRight
A27,288,1408,D:DownLeft
A27,288,1440,D:DownLeft
A27,288,1472,D:DownLeft
A27,288,1504,D:DownLeft
A27,288,1536,D:DownLeft
A27,288,1568,D:DownLeft
A27,288,1600,D:DownLeft
A27,288,1632,D:DownLeft
A27,288,1664,D:DownLeft
A27,288,1696,D:DownLeft
A27,288,1728,D:DownLeft
A2,928,1760,D:UpRight
A6,763,1760,D:UpRight
A2,736,1760
A27,736,1792
A27,736,1824
A27,928,1824,D:UpRight
A27,928,1792,D:UpRight
A9,814,1600
A9,814,1536
A4,768,1536,D:DownLeft
A4,800,1536,D:DownLeft
A4,832,1536,D:DownLeft
A4,864,1536,D:DownLeft
A4,896,1536,D:DownLeft
A4,576,1632,D:DownRight
A4,544,1632,D:DownRight
A4,512,1632,D:DownRight
A4,480,1632,D:DownRight
A4,448,1632,D:DownRight
A27,384,1600,D:DownRight
A27,384,1568,D:DownRight
A27,384,1536,D:DownRight
A27,384,1504,D:DownRight
A2,384,1472,D:UpRight
A4,416,1472,D:UpRight
A4,448,1472,D:UpRight
A4,480,1472,D:UpRight
A4,960,1472,D:UpRight
A4,1056,1472,D:UpRight
A4,1088,1472,D:UpRight
A4,1120,1472,D:UpRight
A4,1216,1472,D:UpRight
A4,1088,1632,D:DownRight
A3,416,1504,D:DownRight
A3,448,1504,D:DownRight
A3,480,1504,D:DownRight
A3,512,1504,D:DownRight
A3,544,1504,D:DownRight
A3,576,1504,D:DownRight
A3,608,1504,D:DownRight
A3,640,1504,D:DownRight
A3,672,1504,D:DownRight
A3,704,1504,D:DownRight
A3,736,1504,D:DownRight
A3,768,1504,D:DownRight
A3,800,1504,D:DownRight
A3,832,1504,D:DownRight
A3,864,1504,D:DownRight
A3,896,1504,D:DownRight
A3,928,1504,D:DownRight
A3,960,1504,D:DownRight
A3,992,1504,D:DownRight
A3,1024,1504,D:DownRight
A3,1056,1504,D:DownRight
A3,1120,1504,D:DownRight
A3,1088,1504,D:DownRight
A3,1152,1504,D:DownRight
A3,1184,1504,D:DownRight
A3,1216,1504,D:DownRight
A3,1216,1600,D:DownRight
A3,1184,1600,D:DownRight
A3,1152,1600,D:DownRight
A3,1120,1600,D:DownRight
A3,1088,1600,D:DownRight
A3,1120,1568,D:DownRight
A3,1088,1568,D:DownRight
A3,1152,1568,D:DownRight
A3,1184,1568,D:DownRight
A3,1216,1568,D:DownRight
A3,1216,1536,D:DownRight
A3,1184,1536,D:DownRight
A3,1152,1536,D:DownRight
A3,1120,1536,D:DownRight
A3,1088,1536,D:DownRight
A3,576,1536,D:DownRight
A3,544,1536,D:DownRight
A3,512,1536,D:DownRight
A3,480,1536,D:DownRight
A3,448,1536,D:DownRight
A3,416,1536,D:DownRight
A3,416,1568,D:DownRight
A3,448,1568,D:DownRight
A3,480,1568,D:DownRight
A3,512,1568,D:DownRight
A3,544,1568,D:DownRight
A3,576,1568,D:DownRight
A3,576,1600,D:DownRight
A3,544,1600,D:DownRight
A3,512,1600,D:DownRight
A3,448,1600,D:DownRight
A3,480,1600,D:DownRight
A3,416,1600,D:DownRight
A9,1344,1344,D:UpRight
A9,1344,1280,D:UpRight
A9,1344,1216,D:UpRight
A9,1344,1152,D:UpRight
A9,1344,1088,D:UpRight
A9,1344,1024,D:UpRight
A2,512,1408,D:UpRight
A2,544,1408
A27,512,1440,D:UpRight
A5,512,1472,D:DownRight
A4,576,1472,D:UpRight
A4,608,1472,D:UpRight
A4,640,1472,D:UpRight
A27,544,1440
A5,544,1472,D:DownLeft
A5,672,1472,D:DownRight
A5,704,1472,D:DownLeft
A27,704,1440,D:DownLeft
A27,672,1440,D:DownRight
A2,672,1408,D:UpRight
A2,704,1408
A27,864,1440
A27,1024,1440
A27,832,1440,D:UpRight
A27,992,1440,D:UpRight
A4,736,1472,D:UpRight
A4,768,1472,D:UpRight
A4,800,1472,D:UpRight
A4,896,1472,D:UpRight
A4,928,1472,D:UpRight
A5,832,1472,D:DownRight
A5,864,1472,D:DownLeft
A5,1024,1472,D:DownLeft
A5,992,1472,D:DownRight
A2,832,1408,D:UpRight
A2,864,1408
A2,1024,1408
A2,992,1408,D:UpRight
A2,1152,1408,D:UpRight
A2,1184,1408
A27,1184,1440
A27,1152,1440,D:UpRight
A5,1152,1472,D:DownRight
A5,1184,1472,D:DownLeft
A4,1216,1088
A4,1184,1088
A4,1152,1088
A4,1120,1088
A4,1088,1088
A4,1056,1088
A4,1024,1088
A4,992,1088
A4,960,1088
A4,928,1088
A4,896,1088
A4,864,1088
A4,832,1088
A4,800,1088
A4,768,1088
A4,736,1088
A4,704,1088
A4,672,1088
A4,640,1088
A4,608,1088
A4,416,1088
A4,448,1088
A4,384,1088
A4,320,1088
A4,352,1088
A2,256,1088,D:UpRight
A27,256,1376,D:UpRight
A27,256,1344,D:UpRight
A27,256,1312,D:UpRight
A27,256,1280,D:UpRight
A27,256,1248,D:UpRight
A27,256,1216,D:UpRight
A27,256,1184,D:UpRight
A27,256,1152,D:UpRight
A27,256,1120,D:UpRight
A4,288,1088,D:UpRight
A27,288,1376
A27,288,1344
A27,288,1312
A27,288,1280
A3,288,1120
A3,288,1152
A3,320,1120
A3,320,1152
A3,352,1120
A3,352,1152
A3,384,1152
A3,384,1120
A3,416,1120
A3,416,1152
A3,448,1152
A3,480,1152
A3,480,1120
A3,448,1120
A3,512,1120
A3,544,1120
A3,512,1152
A3,544,1152
A3,576,1120
A3,576,1152
A3,608,1152
A3,608,1120
A3,640,1120
A3,640,1152
A3,672,1152
A3,672,1120
A3,704,1120
A3,704,1152
A3,736,1152
A3,736,1120
A3,768,1120
A3,768,1152
A3,800,1152
A3,800,1120
A3,832,1120
A3,832,1152
A3,864,1152
A3,864,1120
A3,896,1120
A3,896,1152
A3,928,1152
A3,928,1120
A3,960,1120
A3,960,1152
A3,992,1152
A3,992,1120
A3,1024,1120
A3,1024,1152
A3,1056,1120
A3,1056,1152
A3,1088,1152
A3,1088,1120
A3,1120,1120
A3,1120,1152
A3,1152,1152
A3,1184,1152
A3,1216,1152
A3,1216,1120
A3,1184,1120
A3,1152,1120
A9,192,1664,D:UpRight
A9,128,1664,D:UpRight
A9,128,1600,D:UpRight
A9,192,1600,D:UpRight
A9,192,1408,D:UpRight
A9,128,1408,D:UpRight
A9,128,1344,D:UpRight
A9,192,1344,D:UpRight
A9,192,1152,D:UpRight
A9,128,1152,D:UpRight
A9,128,1088,D:UpRight
A9,192,1088,D:UpRight
A14,192,1080
A4,160,832,D:DownLeft
A4,192,832,D:DownLeft
A4,224,832,D:DownLeft
A4,256,832,D:DownLeft
A4,288,832,D:DownLeft
A4,320,832,D:DownLeft
A4,352,832,D:DownLeft
A4,384,832,D:DownLeft
A4,416,832,D:DownLeft
A4,448,832,D:DownLeft
A4,864,832,D:DownLeft
A4,896,832,D:DownLeft
A4,928,832,D:DownLeft
A4,960,832,D:DownLeft
A4,992,832,D:DownLeft
A4,1024,832,D:DownLeft
A4,1056,832,D:DownLeft
A4,1088,832,D:DownLeft
A4,1120,832,D:DownLeft
A4,1152,832,D:DownLeft
A4,1184,832,D:DownLeft
A4,1216,832,D:DownLeft
A4,1248,832,D:DownLeft
A4,1280,832,D:DownLeft
A4,1280,832,D:DownLeft
A4,1312,832,D:DownLeft
A4,1344,832,D:DownLeft
A5,1376,832,D:UpRight
A14,704,984,D:DownLeft
A14,650,984,D:DownLeft
A14,758,984,D:DownLeft
A9,640,832,D:UpRight
A9,704,832,D:UpRight
A9,768,832,D:UpRight
A9,640,768,D:UpRight
A9,704,768,D:UpRight
A9,768,768,D:UpRight
A9,768,704,D:UpRight
A9,704,704,D:UpRight
A9,640,704,D:UpRight
A9,640,640,D:UpRight
A9,704,640,D:UpRight
A9,768,640,D:UpRight
A3,128,800,D:UpRight
A3,160,800,D:UpRight
A3,192,800,D:UpRight
A3,224,800,D:UpRight
A3,256,800,D:UpRight
A3,288,800,D:UpRight
A3,320,800,D:UpRight
A3,352,800,D:UpRight
A3,384,800,D:UpRight
A3,416,800,D:UpRight
A3,448,800,D:UpRight
A3,480,800,D:UpRight
A3,512,800,D:UpRight
A3,544,800,D:UpRight
A3,576,800,D:UpRight
A3,576,768,D:UpRight
A3,544,768,D:UpRight
A3,512,768,D:UpRight
A3,480,768,D:UpRight
A3,448,768,D:UpRight
A3,416,768,D:UpRight
A3,384,768,D:UpRight
A3,352,768,D:UpRight
A3,320,768,D:UpRight
A3,288,768,D:UpRight
A3,256,768,D:UpRight
A3,224,768,D:UpRight
A3,192,768,D:UpRight
A3,160,768,D:UpRight
A3,128,768,D:UpRight
A3,576,704,D:UpRight
A3,576,736,D:UpRight
A3,544,736,D:UpRight
A3,544,704,D:UpRight
A3,512,704,D:UpRight
A3,512,736,D:UpRight
A3,480,736,D:UpRight
A3,480,704,D:UpRight
A3,448,704,D:UpRight
A3,448,736,D:UpRight
A3,416,736,D:UpRight
A3,416,704,D:UpRight
A3,384,704,D:UpRight
A3,384,736,D:UpRight
A3,352,736,D:UpRight
A3,352,704,D:UpRight
A3,320,704,D:UpRight
A3,320,736,D:UpRight
A3,288,736,D:UpRight
A3,288,704,D:UpRight
A3,256,704,D:UpRight
A3,256,736,D:UpRight
A3,224,736,D:UpRight
A3,224,704,D:UpRight
A3,192,704,D:UpRight
A3,192,736,D:UpRight
A3,160,736,D:UpRight
A3,160,704,D:UpRight
A3,128,736,D:UpRight
A3,128,704,D:UpRight
A3,864,800,D:UpRight
A3,864,768,D:UpRight
A3,864,736,D:UpRight
A3,864,704,D:UpRight
A3,896,704,D:UpRight
A3,928,704,D:UpRight
A3,960,704,D:UpRight
A3,992,704,D:UpRight
A3,1024,704,D:UpRight
A3,1056,704,D:UpRight
A3,1088,704,D:UpRight
A3,1120,704,D:UpRight
A3,1152,704,D:UpRight
A3,1184,704,D:UpRight
A3,1216,704,D:UpRight
A3,1248,704,D:UpRight
A3,1280,704,D:UpRight
A3,1312,704,D:UpRight
A3,1344,704,D:UpRight
A3,1344,736,D:UpRight
A3,1312,736,D:UpRight
A3,1280,736,D:UpRight
A3,1248,736,D:UpRight
A3,1184,736,D:UpRight
A3,1216,736,D:UpRight
A3,1152,736,D:UpRight
A3,1120,736,D:UpRight
A3,1088,736,D:UpRight
A3,1056,736,D:UpRight
A3,1024,736,D:UpRight
A3,992,736,D:UpRight
A3,960,736,D:UpRight
A3,928,736,D:UpRight
A3,896,736,D:UpRight
A3,896,768,D:UpRight
A3,928,768,D:UpRight
A3,960,768,D:UpRight
A3,992,768,D:UpRight
A3,1024,768,D:UpRight
A3,1088,768,D:UpRight
A3,1056,768,D:UpRight
A3,1120,768,D:UpRight
A3,1152,768,D:UpRight
A3,1184,768,D:UpRight
A3,1216,768,D:UpRight
A3,1248,768,D:UpRight
A3,1280,768,D:UpRight
A3,1312,768,D:UpRight
A3,1344,768,D:UpRight
A3,1344,800,D:UpRight
A3,1312,800,D:UpRight
A3,1248,800,D:UpRight
A3,1280,800,D:UpRight
A3,1216,800,D:UpRight
A3,1184,800,D:UpRight
A3,1152,800,D:UpRight
A3,1120,800,D:UpRight
A3,1088,800,D:UpRight
A3,1056,800,D:UpRight
A3,1024,800,D:UpRight
A3,992,800,D:UpRight
A3,960,800,D:UpRight
A3,928,800,D:UpRight
A3,896,800,D:UpRight
A4,576,672,D:UpRight
A4,544,672,D:UpRight
A4,512,672,D:UpRight
A4,864,672,D:UpRight
A4,896,672,D:UpRight
A4,928,672,D:UpRight
A4,960,672,D:UpRight
A4,992,672,D:UpRight
A4,1024,672,D:UpRight
A4,1056,672,D:UpRight
A4,1088,672,D:UpRight
A4,1120,672,D:UpRight
A4,1152,672,D:UpRight
A4,1184,672,D:UpRight
A4,1216,672,D:UpRight
A4,1248,672,D:UpRight
A4,1280,672,D:UpRight
A4,1312,672,D:UpRight
A4,1344,672,D:UpRight
A5,1376,672,D:DownRight
A27,832,800,D:DownRight
A27,832,768,D:DownRight
A27,832,736,D:DownRight
A27,832,704,D:DownRight
A27,608,704,D:DownLeft
A27,608,736,D:DownLeft
A27,608,768,D:DownLeft
A27,608,800,D:DownLeft
A2,608,832,D:DownLeft
A2,832,832,D:DownRight
A2,832,672,D:UpRight
A2,608,672
A27,128,448
A27,128,416
A27,128,384
A27,128,352
A27,128,320
A27,128,288
A27,128,256
A27,128,224
A27,128,192
A27,128,160
A27,128,128
A27,128,96
A27,128,64
A4,160,32,D:DownLeft
A4,192,32,D:DownLeft
A4,224,32,D:DownLeft
A4,256,32,D:DownLeft
A4,288,32,D:DownLeft
A4,320,32,D:DownLeft
A4,352,32,D:DownLeft
A4,384,32,D:DownLeft
A4,416,32,D:DownLeft
A4,448,32,D:DownLeft
A4,480,32,D:DownLeft
A4,512,32,D:DownLeft
A4,544,32,D:DownLeft
A4,576,32,D:DownLeft
A2,640,480,D:DownRight
A4,704,480,D:DownLeft
A4,672,480,D:DownLeft
A4,736,480,D:DownLeft
A4,768,480,D:DownLeft
A27,800,192,D:DownLeft
A27,800,160,D:DownLeft
A27,800,128,D:DownLeft
A27,800,96,D:DownLeft
A27,800,64,D:DownLeft
A27,640,448,D:DownRight
A27,640,416,D:DownRight
A27,640,384,D:DownRight
A27,640,352,D:DownRight
A27,640,320,D:DownRight
A27,640,288,D:DownRight
A27,640,256,D:DownRight
A27,640,224,D:DownRight
A27,640,192,D:DownRight
A27,640,160,D:DownRight
A27,640,128,D:DownRight
A27,640,96,D:DownRight
A27,640,64,D:DownRight
A4,608,32,D:DownRight
A3,768,448,D:DownRight
A3,736,448,D:DownRight
A3,704,448,D:DownRight
A3,672,448,D:DownRight
A3,672,416,D:DownRight
A3,704,416,D:DownRight
A3,736,416,D:DownRight
A3,768,416,D:DownRight
A3,768,384,D:DownRight
A3,736,384,D:DownRight
A3,704,384,D:DownRight
A3,672,384,D:DownRight
A3,672,352,D:DownRight
A3,704,352,D:DownRight
A3,736,352,D:DownRight
A3,768,352,D:DownRight
A3,768,320,D:DownRight
A3,736,320,D:DownRight
A3,704,320,D:DownRight
A3,672,320,D:DownRight
A3,672,288,D:DownRight
A3,704,288,D:DownRight
A3,736,288,D:DownRight
