# Filename:			4.txt
# Last Editted by:		
# Last Editted on:		2012/12/01 19:53
W1528
H2480
T10000000

# DefinitionIDs for each kind of asset in the level.
D7,WA,money.png
A9,320,1472
A9,384,1472
A9,448,1472
A11,383,1569
A9,512,1536
A10,222,2336
A3,960,480
A3,928,480
A3,928,448
A3,960,448
A3,960,416
A3,928,416
A3,928,384
A3,960,384
A3,928,352
A3,960,352
A3,960,320
A3,928,320
A3,928,288
A3,960,288
A3,960,256
A3,928,256
A3,928,224
A3,960,224
A3,960,192
A3,928,192
A3,928,160
A3,960,160
A3,960,128
A3,928,128
A3,928,96
A3,960,96
A3,960,64
A3,928,64
A3,928,32
A3,960,32
A9,1024,576
A9,1088,576
A9,1152,576
A9,1216,576
A9,1280,576
A9,1280,512
A9,1216,512
A9,1152,512
A9,1088,448
A9,1152,448
A9,1280,448
A9,1280,384
A9,1216,384
A9,1152,384
A9,1024,384
A9,1024,320
A9,1216,320
A9,1280,320
A9,1280,256
A9,1216,256
A9,1088,256
A9,1024,192
A9,1152,192
A9,1216,192
A9,1280,192
A9,1280,0
A9,1216,0
A9,1152,0
A9,1024,128
A9,1088,64
A9,1152,64
A9,1216,128
A9,1216,64
A9,1280,64
A9,1280,128
A9,1024,448
A9,192,2240
A9,256,2240
A9,768,1920
A9,832,1920
A9,896,1920
A9,960,1920
A9,1024,1920
A9,1088,1920
A38,1280,688
A38,1296,688
A38,1312,688
A38,1328,688
A38,1344,688
A38,1360,688
A14,1024,504,D:DownLeft
A14,1088,408,D:DownLeft
A14,1152,312,D:DownLeft
A14,1088,216,D:DownLeft
A14,1024,120,D:DownLeft
A9,1088,384
A9,1088,512
A9,1024,512
A9,1216,448
A9,1152,320
A9,1088,320
A9,1152,256
A9,1024,256
A9,1088,192
A9,1088,128
A9,1152,128
A13,736,2464
A13,768,2464
A13,800,2464
A13,832,2464
A13,864,2464
A13,896,2464
A13,928,2464
A13,960,2464
A13,992,2464
A13,1024,2464
A13,1056,2464
A13,1088,2464
A13,1120,2464
A13,1152,2464
A13,1184,2464
A13,1216,2464
A13,1248,2464
A13,1280,2464
A13,1312,2464
A13,1344,2464
A12,768,2432
A12,800,2432
A12,832,2432
A12,864,2432
A12,896,2432
A12,928,2432
A12,960,2432
A12,992,2432
A12,1024,2432
A12,1056,2432
A12,1088,2432
A12,1120,2432
A12,1152,2432
A12,1184,2432
A12,1216,2432
A12,1248,2432
A12,1280,2432
A12,1312,2432
A12,1344,2432
A3,864,704
A3,896,704
A3,928,704
A3,960,704
A3,992,704
A3,1024,704
A3,1056,704
A3,1088,704
A3,1120,704
A3,1152,704
A3,1184,704
A3,1216,704
A9,320,448
A4,192,1696,D:DownRight
A4,224,1696,D:DownRight
A4,256,1696,D:DownRight
A4,288,1696,D:DownRight
A4,320,1696,D:DownRight
A4,352,1696,D:DownRight
A4,384,1696,D:DownRight
A4,416,1696,D:DownRight
A4,448,1696,D:DownRight
A4,480,1696,D:DownRight
A4,512,1696,D:DownRight
A4,544,1696,D:DownRight
A4,576,1696,D:DownRight
A4,608,1696,D:DownRight
A4,640,1696,D:DownRight
A4,192,1664,D:UpRight
A4,256,1664,D:UpRight
A4,224,1664,D:UpRight
A4,288,1664,D:UpRight
A4,320,1664,D:UpRight
A4,352,1664,D:UpRight
A4,384,1664,D:UpRight
A4,416,1664,D:UpRight
A4,448,1664,D:UpRight
A4,480,1664,D:UpRight
A4,512,1664,D:UpRight
A4,544,1664,D:UpRight
A4,576,1664,D:UpRight
A4,608,1664,D:UpRight
A4,640,1664,D:UpRight
A2,704,2048,D:DownLeft
A2,672,2048,D:DownRight
A2,672,2208,D:UpRight
A2,704,2208
A4,1344,1696,D:DownLeft
A4,1312,1696,D:DownLeft
A4,1280,1696,D:DownLeft
A4,1248,1696,D:DownLeft
A4,1216,1696,D:DownLeft
A4,1184,1696,D:DownLeft
A4,1152,1696,D:DownLeft
A4,1120,1696,D:DownLeft
A4,1088,1696,D:DownLeft
A4,1056,1696,D:DownLeft
A4,1024,1696,D:DownLeft
A4,992,1696,D:DownLeft
A4,960,1696,D:DownLeft
A4,928,1696,D:DownLeft
A2,896,1696,D:DownRight
A4,928,1664,D:UpRight
A4,960,1664,D:UpRight
A4,992,1664,D:UpRight
A4,1024,1664,D:UpRight
A4,1056,1664,D:UpRight
A4,1088,1664,D:UpRight
A4,1120,1664,D:UpRight
A4,1152,1664,D:UpRight
A4,1184,1664,D:UpRight
A4,1216,1664,D:UpRight
A4,1248,1664,D:UpRight
A4,1280,1664,D:UpRight
A4,1312,1664,D:UpRight
A4,1344,1664,D:UpRight
A2,896,1664,D:UpRight
A2,1312,1312,D:UpRight
A2,1312,1344,D:DownRight
A4,1344,1344,D:DownRight
A4,1344,1312,D:UpRight
A5,1376,0,D:UpRight
A4,192,0,D:DownRight
A4,224,0,D:DownRight
A4,256,0,D:DownRight
A4,288,0,D:DownRight
A4,320,0,D:DownRight
A4,352,0,D:DownRight
A4,384,0,D:DownRight
A4,416,0,D:DownRight
A4,448,0,D:DownRight
A4,480,0,D:DownRight
A4,512,0,D:DownRight
A4,544,0,D:DownRight
A4,576,0,D:DownRight
A4,608,0,D:DownRight
A4,640,0,D:DownRight
A4,672,0,D:DownRight
A4,704,0,D:DownRight
A4,736,0,D:DownRight
A4,768,0,D:DownRight
A4,800,0,D:DownRight
A4,832,0,D:DownRight
A4,864,0,D:DownRight
A4,1024,0,D:DownRight
A4,1056,0,D:DownRight
A4,1088,0,D:DownRight
A4,1120,0,D:DownRight
A4,1152,0,D:DownRight
A4,1184,0,D:DownRight
A4,1216,0,D:DownRight
A4,1248,0,D:DownRight
A4,1280,0,D:DownRight
A4,1312,0,D:DownRight
A4,1344,0,D:DownRight
A9,640,1152
A9,256,1472
A9,512,1472
A5,576,384,D:DownRight
A2,512,416,D:DownRight
A2,512,384,D:UpRight
A4,544,384,D:UpRight
A4,544,416,D:DownRight
A5,576,416,D:UpRight
A2,224,768
A2,224,800,D:DownLeft
A4,192,800,D:DownLeft
A4,192,768
A9,640,1088
A9,768,1152
A9,832,1152
A4,896,1248,D:DownLeft
A4,864,1248,D:DownLeft
A4,832,1248,D:DownLeft
A4,800,1248,D:DownLeft
A4,768,1248,D:DownLeft
A4,736,1248,D:DownLeft
A5,704,1248
A3,704,1216,D:DownRight
A9,704,1152
A2,576,1216,D:DownRight
A4,608,1216,D:DownRight
A4,640,1216,D:DownRight
A5,672,1216,D:UpRight
A3,960,1216,D:UpRight
A9,832,1088
A9,768,1088
A9,704,1088
A5,608,1184,D:DownLeft
A4,640,1184
A4,672,1184
A4,704,1184
A4,736,1184
A4,768,1184
A4,800,1184
A4,832,1184
A4,864,1184
A4,896,1184
A4,928,1184
A4,928,1248,D:DownLeft
A3,736,1216,D:DownLeft
A3,768,1216,D:DownLeft
A3,800,1216,D:DownLeft
A3,832,1216,D:DownLeft
A3,864,1216,D:DownLeft
A3,896,1216,D:DownLeft
A3,928,1216,D:DownLeft
A14,1216,1872,D:DownLeft
A14,576,2184
A27,992,480,D:DownLeft
A27,992,448,D:DownLeft
A27,992,416,D:DownLeft
A27,992,384,D:DownLeft
A27,992,352,D:DownLeft
A27,992,320,D:DownLeft
A27,992,288,D:DownLeft
A27,992,256,D:DownLeft
A27,992,224,D:DownLeft
A27,992,192,D:DownLeft
A27,992,160,D:DownLeft
A27,992,128,D:DownLeft
A27,992,96,D:DownLeft
A27,992,64,D:DownLeft
A27,992,32,D:DownLeft
A9,192,960
A9,320,960
A9,384,960
A9,512,960
A9,512,896
A9,448,896
A9,384,896
A9,320,896
A9,448,832
A9,512,832
A9,256,704
A9,192,704
A9,384,704
A9,448,704
A9,512,704
A9,256,640
A9,192,640
A9,192,576
A9,256,576
A9,448,640
A9,256,896
A9,256,512
A9,256,448
A9,192,448
A9,1344,704
A38,1280,1968
A38,1296,1968
A38,1312,1968
A38,1328,1968
A9,704,1600
A9,768,1600
A9,832,1600
A9,832,1536
A9,768,1536
A9,704,1536
A9,704,1472
A9,768,1472
A9,832,1472
A9,832,1408
A9,768,1408
A9,704,1408
A9,704,1344
A9,768,1344
A9,832,1344
A9,832,1280
A9,768,1280
A9,704,1280
A9,512,1216
A9,576,1216
A9,640,1216
A38,1024,1264
A38,1040,1264
A38,1056,1264
A38,1072,1264
A38,1088,1264
A38,1104,1264
A38,1120,1264
A38,1136,1264
A38,1152,1264
A38,1168,1264
A38,1184,1264
A38,1200,1264
A3,1344,960
A3,1344,992
A3,1280,992
A3,1312,992
A3,1312,960
A3,1280,960
A3,1248,960
A3,1248,992
A3,1216,992
A3,1216,960
A9,320,1024
A9,384,1024
A9,320,1216
A9,384,1216
A9,320,1408
A9,384,1408
A9,576,1408
A9,1024,2112
A9,1024,2176
A9,960,2176
A9,960,2112
A14,896,2208
A14,389,768,D:DownLeft
A14,325,864,D:DownLeft
A14,379,864,D:DownLeft
A9,320,832
A9,384,832
A9,256,768
A9,320,704
A9,320,640
A14,325,576,D:DownLeft
A14,256,672,D:DownLeft
A14,335,768,D:DownLeft
A14,443,768,D:DownLeft
A14,497,768,D:DownLeft
A14,379,576,D:DownLeft
A9,384,640
A9,320,576
A9,384,576
A9,320,768
A9,384,768
A9,448,768
A9,512,768
A9,704,2368
A9,704,2304
A9,704,2240
A7,1306,2400
A14,733,2422,D:DownLeft
A14,787,2422,D:DownLeft
A14,965,2422,D:DownLeft
A14,1019,2422,D:DownLeft
A14,1265,2422,D:DownLeft
A14,1211,2422,D:DownLeft
A14,1157,2422,D:DownLeft
A9,704,2432
A12,736,2432
A9,1344,1856
A9,1344,1920
A38,1344,1968,D:UpRight
A38,1360,1968,D:UpRight
A9,512,128
A9,448,128
A27,160,32
A27,160,64
A27,160,96
A27,160,128
A27,160,160
A27,160,192
A27,160,224
A27,160,256
A27,160,288
A27,160,320
A27,160,352
A27,160,384
A27,160,416
A27,160,448
A27,160,480
A27,160,576
A27,160,608
A27,160,640
A27,160,672
A27,160,704
A27,160,736
A27,160,832
A27,160,864
A27,160,896
A27,160,928
A27,160,960
A27,160,992
A27,160,1024
A27,160,1056
A27,160,1088
A27,160,1120
A27,160,1152
A27,160,1184
A27,160,1216
A27,160,1248
A27,160,1280
A27,160,1312
A27,160,1344
A27,160,1376
A27,160,1408
A27,160,1440
A27,160,1472
A27,160,1504
A27,160,1536
A27,160,1568
A27,160,1600
A27,160,1632
A27,160,1728
A27,160,1760
A27,160,1792
A27,160,1824
A27,160,1856
A27,160,1888
A27,160,1920
A27,160,1952
A27,160,1984
A27,160,2016
A27,160,2080
A27,160,2048
A27,160,2112
A27,160,2144
A27,160,2176
A27,160,2208
A27,160,2240
A27,160,2272
A27,160,2304
A27,160,2336
A27,160,2368
A27,160,2400
A27,352,2240
A27,352,2208
A27,352,2176
A27,352,2144
A27,352,2112
A27,352,2048
A27,352,2080
A27,352,2016
A27,352,1984
A27,704,2016
A27,704,1984
A27,704,1952
A27,704,1920
A27,704,1888
A27,704,1856
A27,704,1824
A27,704,1792
A27,704,1760
A27,704,1728
A27,704,1696
A27,704,1664
A27,704,1632
A27,704,1600
A27,704,1568
A27,704,1536
A27,704,1504
A27,704,1472
A27,704,1440
A27,704,1408
A27,704,1376
A27,704,1344
A27,704,1312
A27,704,1280
A27,992,1216
A27,992,1184
A27,992,1152
A27,992,1120
A27,608,1120
A27,608,1088
A27,608,1056
A27,608,1024
A27,608,992
A27,608,960
A27,608,928
A27,608,896
A27,608,864
A27,608,832
A27,608,800
A27,608,768
A27,1248,704
A27,1248,672
A27,608,608
A27,608,576
A27,608,544
A27,608,512
A27,608,480
A27,608,448
A27,608,416
A27,608,384
A27,608,352
A27,608,320
A27,608,288
A27,608,256
A27,608,224
A27,608,192
A27,608,160
A27,608,1152
A27,704,2240
A27,704,2272
A27,704,2304
A27,704,2336
A27,704,2368
A27,704,2400
A27,704,2432
A27,704,2464
A27,320,2400,D:UpRight
A27,320,2368,D:UpRight
A27,320,2336,D:UpRight
A27,320,2304,D:UpRight
A27,320,2272,D:UpRight
A27,320,2240,D:UpRight
A27,320,2208,D:UpRight
A27,320,2176,D:UpRight
A27,320,2144,D:UpRight
A27,320,2112,D:UpRight
A27,320,2080,D:UpRight
A27,320,2048,D:UpRight
A27,320,2016,D:UpRight
A27,320,1984,D:UpRight
A27,672,2240,D:UpRight
A27,672,2016,D:UpRight
A27,672,1984,D:UpRight
A27,672,1952,D:UpRight
A27,672,1920,D:UpRight
A27,672,1888,D:UpRight
A27,672,1856,D:UpRight
A27,672,1824,D:UpRight
A27,672,1792,D:UpRight
A27,672,1760,D:UpRight
A27,672,1728,D:UpRight
A27,1376,1728,D:UpRight
A27,1376,1760,D:UpRight
A27,1376,1792,D:UpRight
A27,1376,1824,D:UpRight
A27,1376,1856,D:UpRight
A27,1376,1888,D:UpRight
A27,1376,1920,D:UpRight
A27,1376,1952,D:UpRight
A27,1376,1984,D:UpRight
A27,1376,2016,D:UpRight
A27,1376,2048,D:UpRight
A27,1376,2080,D:UpRight
A27,1376,2112,D:UpRight
A27,1376,2144,D:UpRight
A27,1376,2176,D:UpRight
A27,1376,2208,D:UpRight
A27,1376,2272,D:UpRight
A27,1376,2240,D:UpRight
A27,1376,2304,D:UpRight
A27,1376,2336,D:UpRight
A27,1376,2368,D:UpRight
A27,1376,2400,D:UpRight
A27,1376,2432,D:UpRight
A27,1376,2464,D:UpRight
A27,1376,1632,D:UpRight
A27,1376,1600,D:UpRight
A27,1376,1568,D:UpRight
A27,1376,1536,D:UpRight
A27,1376,1504,D:UpRight
A27,1376,1472,D:UpRight
A27,1376,1440,D:UpRight
A27,1376,1408,D:UpRight
A27,1376,1376,D:UpRight
A27,1376,1280,D:UpRight
A27,1376,1248,D:UpRight
A27,1376,1216,D:UpRight
A27,1376,1184,D:UpRight
A27,1376,1152,D:UpRight
A27,1376,1120,D:UpRight
A27,1376,1088,D:UpRight
A27,1376,1056,D:UpRight
A5,1376,1024,D:UpRight
A3,1376,960,D:UpRight
A3,1376,992,D:UpRight
A27,576,704,D:UpRight
A27,576,736,D:UpRight
A27,576,768,D:UpRight
A27,576,800,D:UpRight
A27,576,832,D:UpRight
A27,576,864,D:UpRight
A27,576,896,D:UpRight
A27,576,928,D:UpRight
A27,576,960,D:UpRight
A27,576,1024,D:UpRight
A27,576,992,D:UpRight
A27,576,1056,D:UpRight
A27,576,1088,D:UpRight
A27,576,1120,D:UpRight
A27,576,1152,D:UpRight
A27,576,1184,D:UpRight
A27,672,1248,D:UpRight
A27,672,1280,D:UpRight
A27,672,1312,D:UpRight
A27,672,1344,D:UpRight
A27,672,1376,D:UpRight
A27,672,1408,D:UpRight
A27,672,1440,D:UpRight
A27,672,1472,D:UpRight
A27,672,1504,D:UpRight
A27,672,1536,D:UpRight
A27,672,1568,D:UpRight
A27,672,1600,D:UpRight
A27,672,1632,D:UpRight
A9,640,1600
A9,640,1536
A9,640,1472
A9,640,1408
A9,640,1344
A9,640,1280
A27,960,1120,D:UpRight
A27,960,1152,D:UpRight
A27,1376,864,D:UpRight
A27,1376,832,D:UpRight
A27,1376,800,D:UpRight
A27,1376,768,D:UpRight
A27,1376,736,D:UpRight
A27,1376,704,D:UpRight
A27,1376,672,D:UpRight
A27,1376,640,D:UpRight
A27,1376,576,D:UpRight
A27,1376,608,D:UpRight
A27,1376,544,D:UpRight
A27,1376,512,D:UpRight
A27,1376,480,D:UpRight
A27,1376,448,D:UpRight
A27,1376,416,D:UpRight
A27,1376,384,D:UpRight
A27,1376,352,D:UpRight
A27,1376,320,D:UpRight
A27,1376,288,D:UpRight
A27,1376,256,D:UpRight
A27,1376,224,D:UpRight
A27,1376,192,D:UpRight
A27,1376,160,D:UpRight
A27,1376,128,D:UpRight
A27,1376,96,D:UpRight
A27,1376,64,D:UpRight
A27,1376,32,D:UpRight
A9,1344,0,D:UpRight
A9,1344,64,D:UpRight
A9,1344,128,D:UpRight
A9,1344,192,D:UpRight
A9,1344,256,D:UpRight
A9,1344,320,D:UpRight
A9,1344,384,D:UpRight
A9,1344,448,D:UpRight
A9,1344,512,D:UpRight
A9,1344,576,D:UpRight
A9,1344,640,D:UpRight
A9,1344,768,D:UpRight
A9,1344,832,D:UpRight
A4,640,736,D:DownRight
A4,672,736,D:DownRight
A4,704,736,D:DownRight
A4,736,736,D:DownRight
A4,768,736,D:DownRight
A4,800,736,D:DownRight
A4,832,736,D:DownRight
A4,864,736,D:DownRight
A4,896,736,D:DownRight
A4,928,736,D:DownRight
A4,960,736,D:DownRight
A4,992,736,D:DownRight
A4,1024,736,D:DownRight
A4,1056,736,D:DownRight
A4,1088,736,D:DownRight
A4,1120,736,D:DownRight
A4,1152,736,D:DownRight
A4,1184,736,D:DownRight
A4,1216,736,D:DownRight
A27,576,160,D:DownRight
A27,576,192,D:DownRight
A27,576,224,D:DownRight
A27,576,256,D:DownRight
A27,576,288,D:DownRight
A27,576,320,D:DownRight
A27,576,352,D:DownRight
A27,576,448,D:DownRight
A27,576,480,D:DownRight
A27,576,512,D:DownRight
A27,576,544,D:DownRight
A27,576,576,D:DownRight
A27,576,608,D:DownRight
A27,896,480,D:DownRight
A27,896,448,D:DownRight
A27,896,416,D:DownRight
A27,896,384,D:DownRight
A27,896,352,D:DownRight
A27,896,320,D:DownRight
A27,896,288,D:DownRight
A27,896,256,D:DownRight
A27,896,224,D:DownRight
A27,896,192,D:DownRight
A27,896,160,D:DownRight
A27,896,128,D:DownRight
A27,896,96,D:DownRight
A27,896,64,D:DownRight
A27,896,32,D:DownRight
A5,160,1696
A4,192,2432
A4,224,2432
A4,256,2432
A4,288,2432
A5,160,2432,D:DownLeft
A5,320,2432,D:DownRight
A5,672,1696,D:UpRight
A5,352,2272,D:DownLeft
A5,672,2272,D:DownRight
A5,1376,1664,D:DownRight
A5,1376,1696,D:UpRight
A5,1376,1344,D:UpRight
A5,1376,1312,D:DownRight
A4,896,928,D:DownRight
A4,928,928,D:DownRight
A4,960,928,D:DownRight
A4,992,928,D:DownRight
A4,1024,928,D:DownRight
A4,1056,928,D:DownRight
A4,1088,928,D:DownRight
A4,1120,928,D:DownRight
A4,1152,928,D:DownRight
A4,1216,1024,D:DownRight
A4,1248,1024,D:DownRight
A4,1280,1024,D:DownRight
A4,1312,1024,D:DownRight
A4,1344,1024,D:DownRight
A2,1184,1024,D:DownRight
A2,960,1088,D:UpRight
A2,992,1088
A5,1184,928,D:UpRight
A27,1184,960,D:UpRight
A27,1184,992,D:UpRight
A4,832,896,D:UpRight
A4,864,896,D:UpRight
A4,896,896,D:UpRight
A4,928,896,D:UpRight
A4,960,896,D:UpRight
A4,992,896,D:UpRight
A4,1024,896,D:UpRight
A4,1056,896,D:UpRight
A4,1088,896,D:UpRight
A4,1120,896,D:UpRight
A4,1152,896,D:UpRight
A4,1184,896,D:UpRight
A4,1216,896,D:UpRight
A4,1248,896,D:UpRight
A4,1280,896,D:UpRight
A4,1312,896,D:UpRight
A4,1344,896,D:UpRight
A5,1376,896,D:DownRight
A2,1248,640
A4,640,704
A4,672,704
A4,704,704
A4,736,704
A4,768,704
A4,800,704
A4,544,640
A4,192,512
A4,1216,640
A4,1184,640
A4,1152,640
A4,1120,640
A4,1088,640
A4,1056,640
A4,1024,640
A4,992,640
A4,960,640
A4,928,640
A4,896,640
A4,864,640
A5,832,704,D:DownRight
A5,608,704,D:DownLeft
A27,608,672,D:DownLeft
A27,608,640,D:DownLeft
A27,832,672,D:DownRight
A2,832,640,D:UpRight
A2,992,512,D:DownLeft
A2,896,512,D:DownRight
A4,928,512,D:DownRight
A4,960,512,D:DownRight
A2,224,544,D:DownLeft
A2,224,512
A4,192,544,D:DownLeft
A5,160,512,D:DownLeft
A5,160,544
A5,160,0
A5,576,640,D:DownRight
A5,576,672,D:UpRight
A4,544,672,D:DownRight
A2,512,672,D:DownRight
A2,512,640,D:UpRight
A5,160,800
A5,160,768,D:DownLeft
A5,160,1664,D:DownLeft
A5,672,1664,D:DownRight
A9,704,1920,D:UpRight
A9,704,1856,D:UpRight
A9,704,1792,D:UpRight
A9,704,1728,D:UpRight
A9,704,1664,D:UpRight
A4,960,1248,D:DownRight
A2,992,1248,D:DownLeft
A4,384,2272
A4,416,2272
A4,448,2272
A4,480,2272
A4,544,2272
A4,576,2272
A4,608,2272
A4,640,2272
A4,512,2272
A14,1280,2304,D:DownLeft
A14,433,576,D:DownLeft
A9,448,576
A2,608,128
A2,576,128,D:UpRight
A14,256,936,D:DownLeft
A14,448,936,D:DownLeft
A9,256,960
A9,448,960
A2,864,1056,D:DownLeft
A4,832,1056,D:DownLeft
A3,832,1024,D:DownLeft
A3,832,992,D:DownLeft
A3,832,960,D:DownLeft
A3,832,928,D:DownLeft
A5,864,928
A27,864,960
A27,864,992
A27,864,1024
A5,960,1184,D:DownRight
A5,608,736
A9,704,1024
A5,992,0
A5,896,0,D:UpRight
A38,1280,2224
A14,448,2016,D:DownLeft
A4,384,1952,D:DownLeft
A4,416,1952,D:DownLeft
A2,448,1952,D:DownLeft
A2,448,1920
A4,416,1920
A4,384,1920
A4,352,1920
A2,320,1920,D:UpRight
A27,320,1952,D:UpRight
A5,352,1952
A14,448,2184
A9,1216,704
A2,1248,736,D:DownLeft
A9,1088,0
A9,1024,0
A38,1040,48
A3,0,0
A3,0,32
A3,0,64
A3,0,96
A3,0,128
A3,0,160
A3,0,192
A3,0,224
A3,0,256
A3,0,288
A3,0,320
A3,0,352
A3,0,384
A3,0,416
A3,0,448
A3,0,480
A3,0,512
A3,0,544
A3,0,576
A3,0,608
A3,0,640
A3,0,672
A3,0,704
A3,0,736
A3,0,768
A3,0,800
A3,0,832
A3,0,864
A3,0,896
A3,0,928
A3,0,960
A3,0,992
A3,0,1024
A3,0,1056
A3,0,1088
A3,0,1120
A3,0,1152
A3,0,1184
A3,0,1216
A3,0,1248
A3,0,1280
A3,0,1312
A3,0,1344
A3,0,1376
A3,0,1408
A3,0,1440
A3,0,1472
A3,0,1504
A3,0,1536
A3,0,1568
A3,0,1600
A3,0,1632
A3,0,1664
A3,0,1696
A3,0,1728
A3,0,1760
A3,0,1792
A3,0,1824
A3,0,1856
A3,0,1888
A3,0,1920
A3,0,1952
A3,0,1984
A3,0,2016
A3,0,2048
A3,0,2080
A3,0,2112
A3,0,2144
A3,0,2176
A3,0,2208
A3,0,2240
A3,0,2272
A3,0,2304
A3,0,2336
A3,0,2368
A3,0,2400
A3,0,2432
A3,0,2464
A3,32,0
A3,32,32
