# Filename:			0.txt
# Last Editted by:		
# Last Editted on:		2012/12/18 20:31
W2728
H720
T10000000

# DefinitionIDs for each kind of asset in the level.
D1,PL,World 5 platform.png
A17,2464,704
A17,2464,672
A17,2464,640
A17,2496,704
A17,2496,672
A17,2496,640
A17,2528,704
A17,2528,672
A17,2528,640
A17,2560,704
A17,2560,672
A17,2560,640
A17,2592,704
A17,2592,672
A17,2592,640
A10,288,608
A10,320,608
A10,352,608
A10,384,608
A10,416,608
A10,448,608
A10,480,608
A10,512,608
A10,544,608
A10,576,608
A10,608,608
A10,640,608
A10,672,608
A10,704,608
A10,736,608
A10,768,608
A10,800,608
A10,832,608
A10,864,608
A10,896,608
A10,928,608
A10,960,608
A10,992,608
A10,1024,608
A10,1056,608
A10,1088,608
A10,1120,608
A10,1152,608
A10,1184,608
A10,1216,608
A10,1248,608
A10,1280,608
A10,1312,608
A10,1344,608
A10,1376,608
A10,1408,608
A10,1440,608
A10,1472,608
A10,1504,608
A10,1536,608
A10,1568,608
A10,1600,608
A10,1632,608
A10,1664,608
A10,1696,608
A10,1728,608
A10,1760,608
A10,1792,608
A10,1824,608
A10,1856,608
A10,1888,608
A10,1920,608
A10,1952,608
A10,1984,608
A10,2016,608
A10,2048,608
A10,2080,608
A10,2112,608
A10,2144,608
A10,2176,608
A10,2208,608
A10,2240,608
A10,2272,608
A10,2304,608
A10,2336,608
A10,2368,608
A10,2400,608
A10,2432,608
A10,2464,608
A10,2496,608
A10,2528,608
A10,2560,608
A10,2592,608
A1,325,557
A1,453,461
A1,325,365
A1,453,269
A1,581,178
A1,704,402,D:DownLeft
A1,768,402,D:DownLeft
A1,896,408,D:DownLeft
A1,960,408,D:DownLeft
A1,1088,408
A1,1152,408
A18,1045,356
A36,1220,339
A36,1348,339
A18,1368,311
A1,1536,385,D:DownLeft
A1,1472,385,D:DownLeft
A1,1600,338,D:DownLeft
A1,1664,338,D:DownLeft
A1,1536,281,D:DownLeft
A1,1472,281,D:DownLeft
A1,1600,233,D:DownLeft
A1,1664,233,D:DownLeft
A36,1728,190
A36,1792,190
A36,1856,190
A36,1920,190
A1,1938,308,D:DownLeft
A1,1874,308,D:DownLeft
A1,1873,441
A1,1764,320
A18,1883,413
A1,1984,480
A1,2048,408
A1,2002,308
A1,2112,216
A1,2241,216
A1,2241,165
A1,2241,112
A1,2242,55
A37,2261,26
A1,2176,336
A18,2384,432
A3,224,224,D:DownLeft
A3,288,128,D:DownLeft
A3,320,32,D:DownLeft
A3,128,288,D:DownLeft
A2,320,0
A2,288,96
A2,288,64
A2,224,192
A2,224,160
A2,128,256
A5,128,224
A5,224,128
A5,288,32
A0,256,128,D:DownLeft
A0,160,224,D:DownLeft
A0,192,224,D:DownLeft
A3,608,0,D:DownRight
A3,768,64,D:DownRight
A3,896,96,D:DownRight
A3,992,96,D:DownLeft
A3,1024,64,D:DownLeft
A3,1312,64,D:DownRight
A3,1472,96,D:DownRight
A3,1504,96,D:DownLeft
A3,1536,32,D:DownLeft
A3,1728,32,D:DownRight
A0,640,0,D:DownLeft
A0,672,0,D:DownLeft
A0,736,0,D:DownLeft
A0,704,0,D:DownLeft
A0,800,64,D:DownLeft
A0,832,64,D:DownLeft
A0,864,64,D:DownLeft
A0,928,96,D:DownLeft
A0,960,96,D:DownLeft
A0,1056,32,D:DownLeft
A0,1088,32,D:DownLeft
A0,1120,32,D:DownLeft
A0,1152,32,D:DownLeft
A0,1184,32,D:DownLeft
A0,1216,32,D:DownLeft
A0,1248,32,D:DownLeft
A0,1280,32,D:DownLeft
A0,1344,64,D:DownLeft
A0,1376,64,D:DownLeft
A0,1408,64,D:DownLeft
A0,1440,64,D:DownLeft
A0,1568,0,D:DownLeft
A0,1600,0,D:DownLeft
A0,1632,0,D:DownLeft
A0,1664,0,D:DownLeft
A0,1696,0,D:DownLeft
A2,768,32,D:UpRight
A2,1504,64
A0,1760,32,D:DownLeft
A0,1792,32,D:DownLeft
A0,1824,32,D:DownLeft
A0,1856,32,D:DownLeft
A3,1888,64,D:DownRight
A3,1952,64,D:DownLeft
A2,1952,32
A2,1952,0
A0,1920,64,D:DownLeft
A5,768,0,D:UpRight
A5,896,64,D:UpRight
A5,1312,32,D:UpRight
A5,1472,64,D:UpRight
A5,1728,0,D:UpRight
A5,1888,32,D:UpRight
A5,1536,0
A5,1504,32
A5,1024,32
A5,992,64
A4,128,0
A4,128,32
A4,128,64
A4,128,96
A4,128,128
A4,128,160
A4,128,192
A4,160,0
A4,160,32
A4,160,64
A4,160,96
A4,160,128
A4,160,160
A4,160,192
A4,192,0
A4,192,32
A4,192,64
A4,192,96
A4,192,128
A4,192,160
A4,192,192
A4,224,0
A4,224,32
A4,224,64
A4,224,96
A4,256,0
A4,256,32
A4,256,64
A4,256,96
A4,288,0
A4,800,0
A4,800,32
A4,832,0
A4,832,32
A4,864,0
A4,864,32
A4,896,0
A4,896,32
A4,928,0
A4,928,32
A4,960,0
A4,960,32
A4,992,0
A4,992,32
A4,928,64
A4,960,64
A4,1024,0
A4,1056,0
A4,1088,0
A4,1120,0
A4,1152,0
A4,1184,0
A4,1216,0
A4,1248,0
A4,1280,0
A4,1312,0
A4,1344,0
A4,1376,0
A4,1408,0
A4,1440,0
A4,1472,0
A4,1504,0
A4,1344,32
A4,1376,32
A4,1408,32
A4,1440,32
A4,1472,32
A4,1760,0
A4,1792,0
A4,1824,0
A4,1856,0
A4,1888,0
A4,1920,0
A4,1920,32
A3,2528,0,D:DownRight
A3,2560,128,D:DownRight
A2,2592,160,D:DownRight
A2,2592,192,D:DownRight
A3,2592,224,D:DownRight
A2,2560,32,D:UpRight
A2,2560,64,D:UpRight
A2,2560,96,D:UpRight
A5,2560,0,D:UpRight
A5,2592,128,D:UpRight
A4,2592,0,D:UpRight
A4,2592,32,D:UpRight
A4,2592,64,D:UpRight
A4,2592,96,D:UpRight
A18,1045,324
A18,757,340
A19,2432,369
A1,1408,232,D:DownLeft
A1,1408,433,D:DownLeft
A1,2368,456,D:DownLeft
A1,2432,456,D:DownLeft
A4,128,704
A4,160,704
A4,192,704
A4,192,672
A4,160,672
A4,128,672
A4,128,640
A4,160,640
A4,192,640
A4,192,608
A4,160,608
A4,128,608
A0,128,576
A0,160,576
A0,192,576
A3,224,576
A2,224,608
A2,224,640
A2,224,672
A2,224,704
A10,256,608
A12,128,480
A2,96,320
A2,96,352
A2,96,384
A2,96,416
A2,96,448
A2,96,480
A2,96,512
A2,96,544
A5,96,288
A5,96,576,D:DownLeft
A5,2624,224,D:UpRight
A2,2624,256,D:UpRight
A2,2624,288,D:UpRight
A2,2624,320,D:UpRight
A2,2624,352,D:UpRight
A2,2624,384,D:UpRight
A2,2624,416,D:UpRight
A2,2624,448,D:UpRight
A2,2624,480,D:UpRight
A2,2624,512,D:UpRight
A2,2624,544,D:UpRight
A2,2624,576,D:UpRight
A2,2624,608,D:UpRight
A2,2624,640,D:UpRight
A2,2624,672,D:UpRight
A2,2624,704,D:UpRight
A4,0,0,D:UpRight
A4,0,32,D:UpRight
A4,0,64,D:UpRight
A4,0,96,D:UpRight
A4,0,128,D:UpRight
A4,0,160,D:UpRight
A4,0,192,D:UpRight
A4,0,224,D:UpRight
A4,0,256,D:UpRight
A4,32,0,D:UpRight
A4,32,32,D:UpRight
A4,32,64,D:UpRight
A4,32,96,D:UpRight
A4,32,128,D:UpRight
A4,32,160,D:UpRight
A4,32,192,D:UpRight
A4,32,224,D:UpRight
A4,32,256,D:UpRight
A4,64,0,D:UpRight
A4,64,32,D:UpRight
A4,64,64,D:UpRight
A4,64,96,D:UpRight
A4,64,128,D:UpRight
A4,64,160,D:UpRight
A4,64,192,D:UpRight
A4,64,224,D:UpRight
A4,64,256,D:UpRight
A4,96,0,D:UpRight
A4,96,32,D:UpRight
A4,96,64,D:UpRight
A4,96,96,D:UpRight
A4,96,128,D:UpRight
A4,96,160,D:UpRight
A4,96,192,D:UpRight
A4,96,224,D:UpRight
A4,96,256,D:UpRight
A4,0,288,D:UpRight
A4,0,320,D:UpRight
A4,0,352,D:UpRight
A4,0,384,D:UpRight
A4,0,416,D:UpRight
A4,0,448,D:UpRight
A4,0,480,D:UpRight
A4,0,512,D:UpRight
A4,0,544,D:UpRight
A4,0,576,D:UpRight
A4,0,608,D:UpRight
A4,0,640,D:UpRight
A4,0,672,D:UpRight
A4,0,704,D:UpRight
A4,32,288,D:UpRight
A4,32,320,D:UpRight
A4,32,352,D:UpRight
A4,32,384,D:UpRight
A4,32,416,D:UpRight
A4,32,448,D:UpRight
A4,32,480,D:UpRight
A4,32,512,D:UpRight
A4,32,544,D:UpRight
A4,32,576,D:UpRight
A4,32,608,D:UpRight
A4,32,640,D:UpRight
A4,32,672,D:UpRight
A4,32,704,D:UpRight
A4,64,288,D:UpRight
A4,64,320,D:UpRight
A4,64,352,D:UpRight
A4,64,384,D:UpRight
A4,64,416,D:UpRight
A4,64,448,D:UpRight
A4,64,480,D:UpRight
A4,64,512,D:UpRight
A4,64,544,D:UpRight
A4,64,576,D:UpRight
A4,64,608,D:UpRight
A4,64,640,D:UpRight
A4,64,672,D:UpRight
A4,64,704,D:UpRight
A4,96,608,D:UpRight
A4,96,640,D:UpRight
A4,96,672,D:UpRight
A4,96,704,D:UpRight
A4,2624,0,D:UpRight
A4,2624,32,D:UpRight
A4,2624,64,D:UpRight
A4,2624,96,D:UpRight
A4,2624,128,D:UpRight
A4,2624,160,D:UpRight
A4,2624,192,D:UpRight
A4,2656,0,D:UpRight
A4,2656,32,D:UpRight
A4,2656,64,D:UpRight
A4,2656,96,D:UpRight
A4,2656,128,D:UpRight
A4,2656,160,D:UpRight
A4,2656,192,D:UpRight
A4,2688,0,D:UpRight
A4,2688,32,D:UpRight
A4,2688,64,D:UpRight
A4,2688,96,D:UpRight
A4,2688,128,D:UpRight
A4,2688,160,D:UpRight
A4,2688,192,D:UpRight
A4,2720,0,D:UpRight
A4,2720,32,D:UpRight
A4,2720,64,D:UpRight
A4,2720,96,D:UpRight
A4,2720,128,D:UpRight
A4,2720,160,D:UpRight
A4,2720,192,D:UpRight
A4,2656,224,D:UpRight
A4,2656,256,D:UpRight
A4,2656,288,D:UpRight
A4,2656,320,D:UpRight
A4,2656,352,D:UpRight
A4,2656,384,D:UpRight
A4,2656,416,D:UpRight
A4,2656,448,D:UpRight
A4,2656,480,D:UpRight
A4,2656,512,D:UpRight
A4,2656,544,D:UpRight
A4,2656,576,D:UpRight
A4,2656,608,D:UpRight
A4,2656,640,D:UpRight
A4,2656,672,D:UpRight
A4,2656,704,D:UpRight
A4,2688,224,D:UpRight
A4,2688,256,D:UpRight
A4,2688,288,D:UpRight
A4,2688,320,D:UpRight
A4,2688,352,D:UpRight
A4,2688,384,D:UpRight
A4,2688,416,D:UpRight
A4,2688,448,D:UpRight
A4,2688,480,D:UpRight
A4,2688,512,D:UpRight
A4,2688,544,D:UpRight
A4,2688,576,D:UpRight
A4,2688,608,D:UpRight
A4,2688,640,D:UpRight
A4,2688,672,D:UpRight
A4,2688,704,D:UpRight
A4,2720,224,D:UpRight
A4,2720,256,D:UpRight
A4,2720,288,D:UpRight
A4,2720,320,D:UpRight
A4,2720,352,D:UpRight
A4,2720,384,D:UpRight
A4,2720,416,D:UpRight
A4,2720,448,D:UpRight
A4,2720,480,D:UpRight
A4,2720,512,D:UpRight
A4,2720,544,D:UpRight
A4,2720,576,D:UpRight
A4,2720,608,D:UpRight
A4,2720,640,D:UpRight
A4,2720,672,D:UpRight
A4,2720,704,D:UpRight
A36,2176,1
A1,2176,-7
A1,2306,55,D:DownLeft
A1,2370,55
