# Filename:			1.txt
# Last Editted by:		
# Last Editted on:		2012/11/30 15:03
W1528
H900
T10000000

# DefinitionIDs for each kind of asset in the level.
D0,WA,top_ground_world4.png
A13,1060,800
A13,1060,832
A13,1060,864
A13,1060,896
A13,1092,768
A13,1092,800
A13,1092,832
A13,1092,864
A13,1092,896
A13,1124,768
A13,1124,800
A13,1124,832
A13,1124,864
A13,1124,896
A1,356,896
A1,356,864
A1,356,832
A1,356,800
A1,356,768
A1,356,736
A1,356,704
A1,356,672
A1,356,640
A1,356,608
A1,356,576
A1,356,544
A1,356,512
A34,324,512,D:DownRight
A34,324,544,D:DownRight
A34,324,576,D:DownRight
A34,324,608,D:DownRight
A34,324,640,D:DownRight
A34,324,672,D:DownRight
A34,324,704,D:DownRight
A34,324,736,D:DownRight
A34,324,768,D:DownRight
A34,324,800,D:DownRight
A34,324,832,D:DownRight
A34,324,864,D:DownRight
A34,292,512,D:DownRight
A34,292,544,D:DownRight
A34,292,576,D:DownRight
A34,292,608,D:DownRight
A34,292,640,D:DownRight
A34,292,672,D:DownRight
A34,292,704,D:DownRight
A34,292,736,D:DownRight
A34,292,768,D:DownRight
A34,292,800,D:DownRight
A34,292,832,D:DownRight
A34,292,864,D:DownRight
A34,260,512,D:DownRight
A34,260,544,D:DownRight
A34,260,576,D:DownRight
A34,260,608,D:DownRight
A34,260,640,D:DownRight
A34,260,672,D:DownRight
A34,260,704,D:DownRight
A34,260,736,D:DownRight
A34,260,768,D:DownRight
A34,260,800,D:DownRight
A34,260,832,D:DownRight
A34,260,864,D:DownRight
A34,228,864,D:DownRight
A34,228,832,D:DownRight
A34,228,800,D:DownRight
A34,228,768,D:DownRight
A34,228,736,D:DownRight
A34,228,704,D:DownRight
A34,228,672,D:DownRight
A34,228,640,D:DownRight
A34,228,608,D:DownRight
A34,228,576,D:DownRight
A34,228,544,D:DownRight
A34,228,512,D:DownRight
A34,228,896,D:DownRight
A34,260,896,D:DownRight
A34,292,896,D:DownRight
A34,324,896,D:DownRight
A1,356,480,D:DownLeft
A1,356,448,D:DownLeft
A1,356,416,D:DownLeft
A0,388,384,D:DownLeft
A0,420,384,D:DownLeft
A0,452,384,D:DownLeft
A0,484,384,D:DownLeft
A0,516,384,D:DownLeft
A0,548,384,D:DownLeft
A0,580,384,D:DownLeft
A0,612,384,D:DownLeft
A0,644,384,D:DownLeft
A1,676,416,D:DownRight
A1,676,448,D:DownRight
A1,676,480,D:DownRight
A0,644,512,D:UpRight
A0,612,512,D:UpRight
A2,580,512,D:UpRight
A2,580,544,D:DownRight
A0,612,544,D:DownRight
A0,644,544,D:DownRight
A0,676,544,D:DownRight
A1,708,512,D:DownLeft
A1,708,480,D:DownLeft
A1,708,448,D:DownLeft
A1,708,416,D:DownLeft
A1,708,384,D:DownLeft
A11,614,417
A2,708,352
A0,676,352
A0,644,352
A0,548,352
A0,516,352
A0,484,352
A0,452,352
A0,420,352
A0,388,352
A1,356,320
A1,356,288
A1,356,256
A1,356,224
A1,356,192
A1,356,160
A1,356,128
A1,356,96,D:DownLeft
A1,356,64,D:DownLeft
A1,356,32,D:DownLeft
A1,356,0,D:DownLeft
A34,228,0,D:DownLeft
A34,228,32,D:DownLeft
A34,228,64,D:DownLeft
A34,228,96,D:DownLeft
A34,228,128,D:DownLeft
A34,228,160,D:DownLeft
A34,228,192,D:DownLeft
A34,228,224,D:DownLeft
A34,228,256,D:DownLeft
A34,228,288,D:DownLeft
A34,228,320,D:DownLeft
A34,228,352,D:DownLeft
A34,228,384,D:DownLeft
A34,228,416,D:DownLeft
A34,228,448,D:DownLeft
A34,228,480,D:DownLeft
A34,260,0,D:DownLeft
A34,260,32,D:DownLeft
A34,260,64,D:DownLeft
A34,260,96,D:DownLeft
A34,260,128,D:DownLeft
A34,260,160,D:DownLeft
A34,260,192,D:DownLeft
A34,260,224,D:DownLeft
A34,260,256,D:DownLeft
A34,260,288,D:DownLeft
A34,260,320,D:DownLeft
A34,260,352,D:DownLeft
A34,260,384,D:DownLeft
A34,260,416,D:DownLeft
A34,260,448,D:DownLeft
A34,260,480,D:DownLeft
A34,292,0,D:DownLeft
A34,292,32,D:DownLeft
A34,292,64,D:DownLeft
A34,292,96,D:DownLeft
A34,292,128,D:DownLeft
A34,292,160,D:DownLeft
A34,292,192,D:DownLeft
A34,292,224,D:DownLeft
A34,292,256,D:DownLeft
A34,292,288,D:DownLeft
A34,292,320,D:DownLeft
A34,292,352,D:DownLeft
A34,292,384,D:DownLeft
A34,292,416,D:DownLeft
A34,292,448,D:DownLeft
A34,292,480,D:DownLeft
A34,324,0,D:DownLeft
A34,324,32,D:DownLeft
A34,324,64,D:DownLeft
A34,324,96,D:DownLeft
A34,324,128,D:DownLeft
A34,324,160,D:DownLeft
A34,324,192,D:DownLeft
A34,324,224,D:DownLeft
A34,324,256,D:DownLeft
A34,324,288,D:DownLeft
A34,324,320,D:DownLeft
A34,324,352,D:DownLeft
A34,324,384,D:DownLeft
A34,324,416,D:DownLeft
A34,324,448,D:DownLeft
A34,324,480,D:DownLeft
A34,1220,544,D:UpRight
A34,1220,576,D:UpRight
A34,1220,608,D:UpRight
A34,1220,640,D:UpRight
A34,1220,672,D:UpRight
A34,1220,704,D:UpRight
A34,1220,736,D:UpRight
A34,1252,128,D:UpRight
A34,1252,160,D:UpRight
A34,1252,192,D:UpRight
A34,1252,224,D:UpRight
A34,1252,256,D:UpRight
A34,1252,288,D:UpRight
A34,1252,320,D:UpRight
A34,1252,352,D:UpRight
A34,1252,384,D:UpRight
A34,1252,416,D:UpRight
A34,1252,448,D:UpRight
A34,1252,480,D:UpRight
A34,1252,512,D:UpRight
A34,1252,544,D:UpRight
A34,1252,576,D:UpRight
A34,1252,608,D:UpRight
A34,1252,640,D:UpRight
A34,1252,672,D:UpRight
A34,1252,704,D:UpRight
A34,1252,736,D:UpRight
A34,1284,128,D:UpRight
A34,1284,160,D:UpRight
A34,1284,192,D:UpRight
A34,1284,224,D:UpRight
A34,1284,256,D:UpRight
A34,1284,288,D:UpRight
A34,1284,320,D:UpRight
A34,1284,352,D:UpRight
A34,1284,384,D:UpRight
A34,1284,416,D:UpRight
A34,1284,448,D:UpRight
A34,1284,480,D:UpRight
A34,1284,512,D:UpRight
A34,1284,544,D:UpRight
A34,1284,576,D:UpRight
A34,1284,608,D:UpRight
A34,1284,640,D:UpRight
A34,1284,672,D:UpRight
A34,1284,704,D:UpRight
A34,1284,736,D:UpRight
A34,1220,96,D:DownRight
A34,1220,64,D:DownRight
A34,1220,32,D:DownRight
A34,1252,96,D:DownRight
A34,1252,64,D:DownRight
A34,1252,32,D:DownRight
A34,1284,96,D:DownRight
A34,1284,64,D:DownRight
A34,1284,32,D:DownRight
A34,1220,0,D:DownRight
A34,1252,0,D:DownRight
A34,1284,0,D:DownRight
A34,1220,768,D:DownRight
A34,1220,800,D:DownRight
A34,1220,832,D:DownRight
A34,1220,864,D:DownRight
A34,1220,896,D:DownRight
A34,1252,768,D:DownRight
A34,1252,800,D:DownRight
A34,1252,832,D:DownRight
A34,1252,864,D:DownRight
A34,1252,896,D:DownRight
A34,1284,768,D:DownRight
A34,1284,800,D:DownRight
A34,1284,832,D:DownRight
A34,1284,864,D:DownRight
A34,1284,896,D:DownRight
A0,1156,96,D:UpRight
A0,1124,96,D:UpRight
A10,1124,0
A1,1188,0,D:UpRight
A1,1188,32,D:UpRight
A1,1188,64,D:UpRight
A2,1092,96,D:UpRight
A2,1092,128,D:DownRight
A0,1124,128,D:DownRight
A14,1029,98
A14,772,98
A14,900,98,D:DownLeft
A9,836,94
A9,836,30
A9,836,-34
A9,964,-33
A9,964,31
A9,964,95
A9,836,158
A9,836,222
A14,772,218,D:DownLeft
A14,900,314,D:DownLeft
A14,772,309
A14,900,213
A2,964,224,D:UpRight
A0,996,224,D:UpRight
A2,1028,224
A1,964,256,D:DownRight
A1,964,288,D:DownRight
A1,964,320,D:DownRight
A1,964,352,D:DownRight
A1,964,384,D:DownRight
A1,964,416,D:DownRight
A1,964,448,D:DownRight
A1,964,480,D:DownRight
A1,964,512,D:DownRight
A2,964,544,D:DownRight
A0,996,544,D:DownRight
A14,644,309
A14,644,218,D:DownLeft
A2,1156,544,D:DownRight
A1,1188,576,D:DownRight
A1,1188,608,D:DownRight
A1,1188,640,D:DownRight
A1,1188,672,D:DownRight
A1,1188,704,D:DownRight
A1,1188,736,D:DownRight
A1,1188,768,D:DownRight
A1,1188,800,D:DownRight
A1,1188,832,D:DownRight
A1,1188,864,D:DownRight
A12,1156,736,D:UpRight
A13,1156,768,D:UpRight
A13,1156,800,D:UpRight
A13,1156,832,D:UpRight
A13,1156,864,D:UpRight
A9,1059,220
A9,996,642
A9,996,578
A9,932,578
A9,868,578
A9,804,578
A9,740,578
A9,676,642
A9,676,578
A9,740,450
A9,804,514
A9,804,450
A9,868,514
A9,868,450
A17,923,438
A2,868,320
A2,868,352,D:DownLeft
A2,836,352,D:DownRight
A2,836,320,D:UpRight
A14,740,408,D:DownLeft
A14,804,480,D:DownLeft
A14,740,563,D:DownLeft
A14,612,696,D:DownLeft
A17,635,608
A14,484,696,D:DownLeft
A14,388,624,D:DownLeft
A14,484,552,D:DownLeft
A2,612,320
A2,580,320,D:UpRight
A2,580,224,D:DownRight
A2,612,224,D:DownLeft
A1,612,192,D:DownLeft
A1,612,160,D:DownLeft
A1,612,128,D:DownLeft
A1,612,96,D:DownLeft
A1,612,32,D:DownLeft
A1,612,64,D:DownLeft
A1,612,0,D:DownLeft
A1,580,0,D:DownRight
A1,580,32,D:DownRight
A1,580,64,D:DownRight
A1,580,96,D:DownRight
A1,580,128,D:DownRight
A1,580,160,D:DownRight
A1,580,192,D:DownRight
A12,388,320,D:UpRight
A12,420,320,D:UpRight
A12,452,320,D:UpRight
A12,484,320,D:UpRight
A12,516,320,D:UpRight
A12,548,320,D:UpRight
A9,389,255
A9,389,191
A9,389,127
A9,453,255
A9,453,191
A9,453,127
A9,517,255
A9,517,191
A9,517,127
A9,517,63
A7,445,100,D:UpRight
A14,484,144,D:DownLeft
A14,484,240,D:DownLeft
A8,356,352,D:DownLeft
A8,676,384,D:UpRight
A1,1220,192,D:UpRight
A1,1220,224,D:UpRight
A1,1220,256,D:UpRight
A1,1220,288,D:UpRight
A1,1220,320,D:UpRight
A1,1220,352,D:UpRight
A8,580,352,D:DownRight
A8,612,352,D:DownLeft
A8,676,512,D:DownRight
A8,1188,544,D:UpRight
A8,1188,96,D:DownRight
A8,356,384
A13,1156,896,D:DownLeft
A1,1188,896,D:DownRight
A9,740,386
A9,932,386
A9,932,450
A9,932,514
A9,932,322
A9,868,322
A9,804,322
A9,389,63
A9,804,386
A9,996,514
A9,676,514
A2,708,544,D:DownLeft
A2,1028,544,D:DownLeft
A1,1028,512
A34,996,512,D:DownLeft
A34,100,0
A34,100,32
A34,100,64
A34,100,96
A34,100,128
A34,100,160
A34,100,192
A34,100,224
A34,100,256
A34,100,288
A34,100,320
A34,100,352
A34,100,384
A34,100,416
A34,100,448
A34,100,480
A34,100,512
A34,100,544
A34,100,576
A34,100,608
A34,100,640
A34,100,672
A34,100,704
A34,100,736
A34,100,768
A34,100,800
A34,100,832
A34,100,864
A34,100,896
A34,132,0
A34,132,32
A34,132,64
A34,132,96
A34,132,128
A34,132,160
A34,132,192
A34,132,224
A34,132,256
A34,132,288
A34,132,320
A34,132,352
A34,132,384
A34,132,416
A34,132,448
A34,132,480
A34,132,512
A34,132,544
A34,132,576
A34,132,608
A34,132,640
A34,132,672
A34,132,704
A34,132,736
A34,132,768
A34,132,800
A34,132,832
A34,132,864
A34,132,896
A34,164,0
A34,164,32
A34,164,64
A34,164,96
A34,164,128
A34,164,160
A34,164,192
A34,164,224
A34,164,256
A34,164,288
A34,164,320
A34,164,352
A34,164,384
A34,164,416
A34,164,448
A34,164,480
A34,164,512
A34,164,544
A34,164,576
A34,164,608
A34,164,640
A34,164,672
A34,164,704
A34,164,736
A34,164,768
A34,164,800
A34,164,832
A34,164,864
A34,164,896
A34,196,0
A34,196,32
A34,196,64
A34,196,96
A34,196,128
A34,196,160
A34,196,192
A34,196,224
A34,196,256
A34,196,288
A34,196,320
A34,196,352
A34,196,384
A34,196,416
A34,196,448
A34,196,480
A34,196,512
A34,196,544
A34,196,576
A34,196,608
A34,196,640
A34,196,672
A34,196,704
A34,196,736
A34,196,768
A34,196,800
A34,196,832
A34,196,864
A34,196,896
A34,1316,0
A34,1316,32
A34,1316,64
A34,1316,96
A34,1316,128
A34,1316,160
A34,1316,192
A34,1316,224
A34,1316,256
A34,1316,288
A34,1316,320
A34,1316,352
A34,1316,384
A34,1316,416
A34,1316,448
A34,1316,480
A34,1316,512
A34,1316,544
A34,1316,576
A34,1316,608
A34,1316,640
A34,1316,672
A34,1316,704
A34,1316,736
A34,1316,768
A34,1316,800
A34,1316,832
A34,1316,864
A34,1316,896
A34,1348,0
A34,1348,32
A34,1348,64
A34,1348,96
A34,1348,128
A34,1348,160
A34,1348,192
A34,1348,224
A34,1348,256
A34,1348,288
A34,1348,320
A34,1348,352
A34,1348,384
A34,1348,416
A34,1348,448
A34,1348,480
A34,1348,512
A34,1348,544
A34,1348,576
A34,1348,608
A34,1348,640
A34,1348,672
A34,1348,704
A34,1348,736
A34,1348,768
A34,1348,800
A34,1348,832
A34,1348,864
A34,1348,896
A34,1380,0
A34,1380,32
A34,1380,64
A34,1380,96
A34,1380,128
A34,1380,160
A34,1380,192
A34,1380,224
A34,1380,256
A34,1380,288
A34,1380,320
A34,1380,352
A34,1380,384
A34,1380,416
A34,1380,448
A34,1380,480
A34,1380,512
A34,1380,544
A34,1380,576
A34,1380,608
A34,1380,640
A34,1380,672
A34,1380,704
A34,1380,736
A34,1380,768
A34,1380,800
A34,1380,832
A34,1380,864
A34,1380,896
A9,740,514
A1,1156,512,D:UpRight
A1,1156,416,D:UpRight
A1,1156,448,D:UpRight
A1,1156,480,D:UpRight
A2,1156,384,D:UpRight
A0,1188,384,D:UpRight
A8,1220,384,D:DownRight
A8,1220,160,D:UpRight
A0,1188,160,D:DownLeft
A8,1156,128,D:UpRight
A2,1156,160,D:DownRight
A34,1188,128,D:DownRight
A34,1220,128,D:DownRight
A34,1188,416,D:DownRight
A34,1188,448,D:DownRight
A34,1188,480,D:DownRight
A34,1188,512,D:DownRight
A34,1220,416,D:DownRight
A34,1220,448,D:DownRight
A34,1220,480,D:DownRight
A34,1220,512,D:DownRight
A1,1028,256
A1,1028,288
A1,1028,320
A34,996,256
A34,996,288
A34,996,320
A34,-28,0
A34,-28,32
A34,-28,64
A34,-28,96
A34,-28,128
A34,-28,160
A34,-28,192
A34,-28,224
A34,-28,256
A34,-28,288
A34,-28,320
A34,-28,352
A34,-28,384
A34,-28,416
A34,-28,448
A34,-28,480
A34,-28,512
A34,-28,544
A34,-28,576
A34,-28,608
A34,-28,640
A34,-28,672
A34,-28,704
A34,-28,736
A34,-28,768
A34,-28,800
A34,-28,832
A34,-28,864
A34,-28,896
A34,4,0
A34,4,32
A34,4,64
A34,4,96
A34,4,128
A34,4,160
A34,4,192
A34,4,224
A34,4,256
A34,4,288
A34,4,320
A34,4,352
A34,4,384
A34,4,416
A34,4,448
A34,4,480
A34,4,512
A34,4,544
A34,4,576
A34,4,608
A34,4,640
A34,4,672
A34,4,704
A34,4,736
A34,4,768
A34,4,800
A34,4,832
A34,4,864
A34,4,896
A34,36,0
A34,36,32
A34,36,64
A34,36,96
A34,36,128
A34,36,160
A34,36,192
A34,36,224
A34,36,256
A34,36,288
A34,36,320
A34,36,352
A34,36,384
A34,36,416
A34,36,448
A34,36,480
A34,36,512
A34,36,544
A34,36,576
A34,36,608
A34,36,640
A34,36,672
A34,36,704
A34,36,736
A34,36,768
A34,36,800
A34,36,832
A34,36,864
A34,36,896
A34,68,0
A34,68,32
A34,68,64
A34,68,96
A34,68,128
A34,68,160
A34,68,192
A34,68,224
A34,68,256
A34,68,288
A34,68,320
A34,68,352
A34,68,384
A34,68,416
A34,68,448
A34,68,480
A34,68,512
A34,68,544
A34,68,576
A34,68,608
A34,68,640
A34,68,672
A34,68,704
A34,68,736
A34,68,768
A34,68,800
A34,68,832
A34,68,864
A34,68,896
A34,1412,0
A34,1412,32
A34,1412,64
A34,1412,96
A34,1412,128
A34,1412,160
A34,1412,192
A34,1412,224
A34,1412,256
A34,1412,288
A34,1412,320
A34,1412,352
A34,1412,384
A34,1412,416
A34,1412,448
A34,1412,480
A34,1412,512
A34,1412,544
A34,1412,576
A34,1412,608
A34,1412,640
A34,1412,672
A34,1412,704
A34,1412,736
A34,1412,768
A34,1412,800
A34,1412,832
A34,1412,864
A34,1412,896
A34,1444,0
A34,1444,32
A34,1444,64
A34,1444,96
A34,1444,128
A34,1444,160
A34,1444,192
A34,1444,224
A34,1444,256
A34,1444,288
A34,1444,320
A34,1444,352
A34,1444,384
A34,1444,416
A34,1444,448
A34,1444,480
A34,1444,512
A34,1444,544
A34,1444,576
A34,1444,608
A34,1444,640
A34,1444,672
A34,1444,704
A34,1444,736
A34,1444,768
A34,1444,800
A34,1444,832
A34,1444,864
A34,1444,896
A34,1476,0
A34,1476,32
A34,1476,64
A34,1476,96
A34,1476,128
A34,1476,160
A34,1476,192
A34,1476,224
A34,1476,256
A34,1476,288
A34,1476,320
A34,1476,352
A34,1476,384
A34,1476,416
A34,1476,448
A34,1476,480
A34,1476,512
A34,1476,544
A34,1476,576
A34,1476,608
A34,1476,640
A34,1476,672
A34,1476,704
A34,1476,736
A34,1476,768
A34,1476,800
A34,1476,832
A34,1476,864
A34,1476,896
A34,1508,0
A34,1508,32
A34,1508,64
A34,1508,96
A34,1508,128
A34,1508,160
A34,1508,192
A34,1508,224
A34,1508,256
A34,1508,288
A34,1508,320
A34,1508,352
A34,1508,384
A34,1508,416
A34,1508,448
A34,1508,480
A34,1508,512
A34,1508,544
A34,1508,576
A34,1508,608
A34,1508,640
A34,1508,672
A34,1508,704
A34,1508,736
A34,1508,768
A34,1508,800
A34,1508,832
A34,1508,864
A34,1508,896
A9,1123,220
A14,419,72,D:DownLeft
A9,453,63
A12,388,32,D:DownLeft
A12,420,32,D:DownLeft
A12,452,32,D:DownLeft
A12,484,32,D:DownLeft
A12,516,32,D:DownLeft
A12,548,32,D:DownLeft
A13,388,0,D:DownLeft
A13,420,0,D:DownLeft
A13,452,0,D:DownLeft
A13,484,0,D:DownLeft
A13,516,0,D:DownLeft
A13,548,0,D:DownLeft
A14,1060,617,D:DownLeft
A14,1124,617,D:DownLeft
A17,1104,496
A17,1120,496
A1,1028,480,D:DownLeft
A1,1028,448,D:DownLeft
A1,1028,416,D:DownLeft
A1,1028,384,D:DownLeft
A1,1028,352,D:DownLeft
A34,996,352,D:DownLeft
A34,996,384,D:DownLeft
A34,996,416,D:DownLeft
A34,996,448,D:DownLeft
A34,996,480,D:DownLeft
A17,907,438
A9,868,386
A17,619,608
A17,724,304
A17,740,304
A9,708,288
A9,1092,479
A9,1092,415
A17,1136,496
